script,font_name,font_count
latin,other,3021026
latin,roboto,2853622
cyrillic,roboto,2853622
cyrillic,noto-sans-jp,2578218
katakana,noto-sans-jp,2578218
latin,noto-sans-jp,2578218
latin,poppins,1980403
devanagari,poppins,1980403
cyrillic,poppins,1980403
cyrillic,open-sans,1541231
latin,open-sans,1541231
devanagari,open-sans,1541231
cyrillic,other,1084285
latin,montserrat,1044450
cyrillic,montserrat,1044450
arabic,fontawesome,893431
latin,lato,884721
cyrillic,lato,884721
katakana,inter,596199
cyrillic,inter,596199
bengali,inter,596199
devanagari,inter,596199
latin,inter,596199
telugu,inter,596199
arabic,inter,596199
tamil,inter,596199
katakana,noto-serif-jp,430588
latin,noto-serif-jp,430588
cyrillic,noto-serif-jp,430588
cyrillic,source-sans-pro,403446
latin,source-sans-pro,403446
arabic,icomoon,344999
cyrillic,icomoon,344999
telugu,icomoon,344999
bengali,icomoon,344999
katakana,icomoon,344999
devanagari,icomoon,344999
latin,icomoon,344999
cyrillic,font-awesome-6-free,324977
latin,font-awesome-6-free,324977
cyrillic,zen-kaku-gothic-new,321091
katakana,zen-kaku-gothic-new,321091
latin,zen-kaku-gothic-new,321091
latin,noto-sans-kr,306357
katakana,noto-sans-kr,306354
cyrillic,noto-sans-kr,306354
latin,proxima-nova,304848
cyrillic,proxima-nova,304848
katakana,proxima-nova,304847
cyrillic,raleway,282512
latin,raleway,282512
katakana,other,277488
devanagari,google-sans,275599
bengali,google-sans,275599
latin,google-sans,275599
tamil,google-sans,275599
cyrillic,google-sans,275599
telugu,google-sans,275599
latin,gt-standard,265310
cyrillic,font-awesome-6-brands,259562
latin,font-awesome-6-brands,259562
latin,font-awesome-6-pro,227612
cyrillic,font-awesome-6-pro,227612
cyrillic,rubik,220171
arabic,rubik,220171
latin,rubik,220171
latin,barlow,212352
latin,noto-sans-tc,209483
katakana,noto-sans-tc,209483
cyrillic,noto-sans-tc,209483
cyrillic,oswald,173076
latin,oswald,173076
cyrillic,ubuntu,170359
latin,ubuntu,170359
tamil,ubuntu,170359
bengali,ubuntu,170359
devanagari,ubuntu,170359
cyrillic,titillium-web,150329
latin,titillium-web,150329
latin,nunito,149412
cyrillic,nunito,149412
katakana,zen-maru-gothic,148820
latin,zen-maru-gothic,148820
cyrillic,zen-maru-gothic,148820
latin,rounded-mplus-1c,146269
katakana,rounded-mplus-1c,146269
cyrillic,rounded-mplus-1c,146269
cyrillic,playfair-display,145542
latin,playfair-display,145542
cyrillic,shippori-mincho,131115
katakana,shippori-mincho,131115
latin,shippori-mincho,131115
