font_name,script
BonaNovaSC-Bold,Arabic
Tajawal-Medium,Arabic
Kufam-Italic[wght],Arabic
Harmattan-Regular,Arabic
Rubik-Italic[wght],Arabic
"NotoSansArabicUI[wdth,wght]",Arabic
Zain-LightItalic,Arabic
Thabit-BoldOblique,Arabic
Lateef-Medium,Arabic
Harmattan-SemiBold,Arabic
Almarai-ExtraBold,Arabic
BalooBhaijaan2[wght],Arabic
ReemKufiInk-Regular,Arabic
Changa[wght],Arabic
ReemKufiFun[wght],Arabic
Beiruti[wght],Arabic
Zain-Bold,Arabic
Amiri-Italic,Arabic
Gulzar-Regular,Arabic
Amiri-Regular,Arabic
Ruwudu-Bold,Arabic
ScheherazadeNew-Regular,Arabic
NotoNaskhArabicUI[wght],Arabic
Marhey[wght],Arabic
MarkaziText[wght],Arabic
AmiriQuran-Regular,Arabic
Harmattan-Bold,Arabic
BonaNovaSC-Italic,Arabic
BonaNova-Italic,Arabic
ReemKufi[wght],Arabic
Tajawal-Light,Arabic
Rakkas-Regular,Arabic
ArefRuqaaInk-Bold,Arabic
NotoNaskhArabic[wght],Arabic
BlakaInk-Regular,Arabic
IBMPlexSansArabic-ExtraLight,Arabic
Lateef-SemiBold,Arabic
ScheherazadeNew-SemiBold,Arabic
"CairoPlay[slnt,wght]",Arabic
LemonadaVFBeta,Arabic
Amiri-BoldItalic,Arabic
Lemonada[wght],Arabic
BonaNova-Regular,Arabic
Mirza-Regular,Arabic
BonaNovaSC-Regular,Arabic
Kufam[wght],Arabic
Zain-Light,Arabic
Jomhuria-Regular,Arabic
Almarai-Light,Arabic
Mada[wght],Arabic
Rubik[wght],Arabic
Fustat[wght],Arabic
IBMPlexSansArabic-Medium,Arabic
CascadiaMono[wght],Arabic
ArefRuqaaInk-Regular,Arabic
MarkaziText-VF,Arabic
CascadiaCode[wght],Arabic
Alyamama[wght],Arabic
Harmattan-Medium,Arabic
Zain-ExtraBold,Arabic
Vibes-Regular,Arabic
Tajawal-Bold,Arabic
Amiri-Bold,Arabic
ArefRuqaa-Bold,Arabic
PlaypenSansArabic[wght],Arabic
Almarai-Bold,Arabic
BadeenDisplay-Regular,Arabic
Estedad[wght],Arabic
Mirza-Medium,Arabic
Tajawal-Regular,Arabic
Almarai-Regular,Arabic
Vazirmatn[wght],Arabic
Tajawal-ExtraLight,Arabic
Ruwudu-SemiBold,Arabic
Katibeh-Regular,Arabic
IBMPlexSansArabic-Regular,Arabic
IBMPlexSansArabic-Bold,Arabic
Thabit,Arabic
Lateef-Light,Arabic
Zain-Italic,Arabic
"NotoSansArabic[wdth,wght]",Arabic
Ruwudu-Regular,Arabic
"Handjet[ELGR,ELSH,wght]",Arabic
Lateef-Bold,Arabic
Qahiri-Regular,Arabic
IBMPlexSansArabic-Light,Arabic
Parastoo[wght],Arabic
Tajawal-ExtraBold,Arabic
Lalezar-Regular,Arabic
NotoKufiArabic[wght],Arabic
Zain-Black,Arabic
