script,font_1,font_2,cosine_similarity,cosine_distance
Arabic,ArefRuqaaInk-Bold,ArefRuqaa-Bold,1.0,0.0
Arabic,BonaNovaSC-Italic,BonaNova-Italic,1.0,0.0
Arabic,ReemKufiInk-Regular,ReemKufiFun[wght],1.0,0.0
Arabic,CascadiaMono[wght],CascadiaCode[wght],1.0,0.0
Arabic,ReemKufiFun[wght],ReemKufi[wght],1.0,-0.0
Arabic,Rubik-Italic[wght],Rubik[wght],1.0,0.0
Arabic,BonaNova-Regular,BonaNovaSC-Regular,1.0,0.0
Arabic,Kufam-Italic[wght],Kufam[wght],1.0,0.0
Arabic,ReemKufiInk-Regular,ReemKufi[wght],1.0,0.0
Arabic,LemonadaVFBeta,Lemonada[wght],0.9998,0.0002
Arabic,Amiri-Regular,AmiriQuran-Regular,0.9994,0.0006
Arabic,MarkaziText[wght],MarkaziText-VF,0.9947,0.0053
Arabic,Lateef-Medium,Lateef-SemiBold,0.9936,0.0064
Arabic,Lateef-SemiBold,Lateef-Bold,0.9927,0.0073
Arabic,Tajawal-Bold,Tajawal-ExtraBold,0.992,0.008
Arabic,Harmattan-Regular,Harmattan-Medium,0.9907,0.0093
Arabic,Harmattan-SemiBold,Harmattan-Bold,0.9905,0.0095
Arabic,Ruwudu-Bold,Ruwudu-SemiBold,0.9901,0.0099
Arabic,Tajawal-Medium,Tajawal-Regular,0.9894,0.0106
Arabic,Zain-ExtraBold,Zain-Black,0.9893,0.0107
Arabic,Zain-Bold,Zain-ExtraBold,0.9891,0.0109
Arabic,IBMPlexSansArabic-Medium,IBMPlexSansArabic-Regular,0.9891,0.0109
Arabic,Mirza-Regular,Mirza-Medium,0.989,0.011
Arabic,Almarai-ExtraBold,Almarai-Bold,0.9873,0.0127
Arabic,IBMPlexSansArabic-Regular,IBMPlexSansArabic-Light,0.9865,0.0135
Arabic,Lateef-Medium,Lateef-Bold,0.9855,0.0145
Arabic,Harmattan-SemiBold,Harmattan-Medium,0.9855,0.0145
Arabic,Amiri-Italic,Amiri-BoldItalic,0.9854,0.0146
Arabic,"NotoSansArabicUI[wdth,wght]","NotoSansArabic[wdth,wght]",0.9854,0.0146
Arabic,Tajawal-Light,Tajawal-Regular,0.9848,0.0152
Arabic,IBMPlexSansArabic-Medium,IBMPlexSansArabic-Bold,0.9846,0.0154
Arabic,Harmattan-Bold,Harmattan-Medium,0.9843,0.0157
Arabic,Lateef-Medium,Lateef-Light,0.9837,0.0163
Arabic,Harmattan-Regular,Harmattan-SemiBold,0.9836,0.0164
Arabic,Tajawal-Medium,Tajawal-Bold,0.9826,0.0174
Arabic,Tajawal-Light,Tajawal-ExtraLight,0.9825,0.0175
Arabic,Amiri-Regular,Amiri-Bold,0.9821,0.0179
Arabic,IBMPlexSansArabic-ExtraLight,IBMPlexSansArabic-Light,0.982,0.018
Arabic,Zain-LightItalic,Zain-Italic,0.9818,0.0182
Arabic,Ruwudu-SemiBold,Ruwudu-Regular,0.9817,0.0183
Arabic,AmiriQuran-Regular,Amiri-Bold,0.9816,0.0184
Arabic,Almarai-Light,Almarai-Regular,0.9815,0.0185
Arabic,Harmattan-Regular,Harmattan-Bold,0.9797,0.0203
Arabic,Zain-Bold,Zain-Black,0.9795,0.0205
Arabic,Almarai-Bold,Almarai-Regular,0.978,0.022
Arabic,ScheherazadeNew-Regular,ScheherazadeNew-SemiBold,0.9768,0.0232
Arabic,Vazirmatn[wght],IBMPlexSansArabic-Regular,0.9755,0.0245
Arabic,IBMPlexSansArabic-Medium,IBMPlexSansArabic-Light,0.9753,0.0247
Arabic,NotoNaskhArabicUI[wght],NotoNaskhArabic[wght],0.9743,0.0257
Arabic,Lateef-SemiBold,Lateef-Light,0.9739,0.0261
Arabic,Thabit,Parastoo[wght],0.9735,0.0265
Arabic,ArefRuqaaInk-Regular,ArefRuqaa-Bold,0.9735,0.0265
Arabic,ArefRuqaaInk-Bold,ArefRuqaaInk-Regular,0.9734,0.0266
Arabic,ScheherazadeNew-Regular,AmiriQuran-Regular,0.9733,0.0267
Arabic,Amiri-Regular,ScheherazadeNew-Regular,0.9729,0.0271
Arabic,Tajawal-Medium,Tajawal-Light,0.9725,0.0275
Arabic,Tajawal-Medium,Tajawal-ExtraBold,0.9721,0.0279
Arabic,IBMPlexSansArabic-Regular,IBMPlexSansArabic-Bold,0.9719,0.0281
Arabic,BonaNovaSC-Bold,BonaNova-Regular,0.9715,0.0285
Arabic,BonaNovaSC-Bold,BonaNovaSC-Regular,0.9715,0.0285
Arabic,Tajawal-Regular,Tajawal-ExtraLight,0.9712,0.0288
Arabic,IBMPlexSansArabic-Medium,Vazirmatn[wght],0.9707,0.0293
Arabic,IBMPlexSansArabic-ExtraLight,IBMPlexSansArabic-Regular,0.9706,0.0294
Arabic,Zain-Bold,Zain-Light,0.9706,0.0294
Arabic,Ruwudu-Bold,Ruwudu-Regular,0.9704,0.0296
Arabic,Rubik-Italic[wght],Vazirmatn[wght],0.9696,0.0304
Arabic,Rubik[wght],Vazirmatn[wght],0.9696,0.0304
Arabic,ScheherazadeNew-Regular,Amiri-Bold,0.9686,0.0314
Arabic,Lateef-SemiBold,Parastoo[wght],0.9681,0.0319
Arabic,Tajawal-Bold,Tajawal-Regular,0.9678,0.0322
Arabic,Lateef-Bold,Parastoo[wght],0.9676,0.0324
Arabic,BalooBhaijaan2[wght],Vazirmatn[wght],0.9669,0.0331
Arabic,Vazirmatn[wght],IBMPlexSansArabic-Light,0.9666,0.0334
Arabic,ScheherazadeNew-SemiBold,Amiri-Bold,0.9662,0.0338
Arabic,Lateef-SemiBold,Thabit,0.9653,0.0347
Arabic,BalooBhaijaan2[wght],IBMPlexSansArabic-Light,0.9652,0.0348
Arabic,Thabit,Lateef-Bold,0.9647,0.0353
Arabic,Lateef-Medium,Parastoo[wght],0.9646,0.0354
Arabic,BalooBhaijaan2[wght],IBMPlexSansArabic-Regular,0.9643,0.0357
Arabic,Almarai-ExtraBold,Almarai-Regular,0.9633,0.0367
Arabic,Lateef-Light,Lateef-Bold,0.9632,0.0368
Arabic,NotoNaskhArabic[wght],Alyamama[wght],0.9629,0.0371
Arabic,Rubik-Italic[wght],IBMPlexSansArabic-Regular,0.9622,0.0378
Arabic,MarkaziText[wght],Thabit,0.9622,0.0378
Arabic,Rubik[wght],IBMPlexSansArabic-Regular,0.9622,0.0378
Arabic,"NotoSansArabicUI[wdth,wght]",Rubik[wght],0.9618,0.0382
Arabic,Rubik-Italic[wght],"NotoSansArabicUI[wdth,wght]",0.9618,0.0382
Arabic,"NotoSansArabicUI[wdth,wght]",IBMPlexSansArabic-Regular,0.9618,0.0382
Arabic,BalooBhaijaan2[wght],Rubik[wght],0.9614,0.0386
Arabic,Rubik-Italic[wght],BalooBhaijaan2[wght],0.9614,0.0386
Arabic,Mirza-Medium,Katibeh-Regular,0.9607,0.0393
Arabic,PlaypenSansArabic[wght],IBMPlexSansArabic-Regular,0.96,0.04
Arabic,"NotoSansArabicUI[wdth,wght]",Vazirmatn[wght],0.9597,0.0403
Arabic,Lateef-Medium,Thabit,0.9593,0.0407
Arabic,Rubik[wght],IBMPlexSansArabic-Light,0.9593,0.0407
Arabic,Rubik-Italic[wght],IBMPlexSansArabic-Light,0.9593,0.0407
Arabic,MarkaziText[wght],Lateef-Bold,0.9593,0.0407
Arabic,Almarai-Light,Almarai-Bold,0.9585,0.0415
Arabic,MarkaziText-VF,Thabit,0.9585,0.0415
Arabic,"NotoSansArabicUI[wdth,wght]",IBMPlexSansArabic-Light,0.9582,0.0418
Arabic,Amiri-Regular,ScheherazadeNew-SemiBold,0.9579,0.0421
Arabic,IBMPlexSansArabic-Bold,IBMPlexSansArabic-Light,0.9577,0.0423
Arabic,IBMPlexSansArabic-Regular,"NotoSansArabic[wdth,wght]",0.9576,0.0424
Arabic,AmiriQuran-Regular,ScheherazadeNew-SemiBold,0.9571,0.0429
Arabic,Vazirmatn[wght],IBMPlexSansArabic-Bold,0.9569,0.0431
Arabic,BalooBhaijaan2[wght],Alyamama[wght],0.9566,0.0434
Arabic,Amiri-BoldItalic,Amiri-Bold,0.9566,0.0434
Arabic,Tajawal-Medium,Tajawal-ExtraLight,0.9565,0.0435
Arabic,BonaNova-Regular,Amiri-Bold,0.9565,0.0435
Arabic,BalooBhaijaan2[wght],IBMPlexSansArabic-ExtraLight,0.9565,0.0435
Arabic,BonaNovaSC-Regular,Amiri-Bold,0.9565,0.0435
Arabic,MarkaziText[wght],Lateef-SemiBold,0.9562,0.0438
Arabic,Zain-Light,Almarai-Regular,0.9562,0.0438
Arabic,MarkaziText-VF,Lateef-Bold,0.9562,0.0438
Arabic,"NotoSansArabic[wdth,wght]",IBMPlexSansArabic-Light,0.9559,0.0441
Arabic,Rubik-Italic[wght],IBMPlexSansArabic-ExtraLight,0.9558,0.0442
Arabic,IBMPlexSansArabic-ExtraLight,Rubik[wght],0.9558,0.0442
Arabic,Marhey[wght],Vazirmatn[wght],0.9556,0.0444
Arabic,Tajawal-Regular,Tajawal-ExtraBold,0.9556,0.0444
Arabic,Zain-Light,Zain-ExtraBold,0.9552,0.0448
Arabic,Zain-ExtraBold,Almarai-Bold,0.9549,0.0451
Arabic,"NotoSansArabicUI[wdth,wght]",IBMPlexSansArabic-Medium,0.9549,0.0451
Arabic,BalooBhaijaan2[wght],NotoNaskhArabic[wght],0.9548,0.0452
Arabic,"NotoSansArabicUI[wdth,wght]",IBMPlexSansArabic-ExtraLight,0.9547,0.0453
Arabic,Amiri-Italic,AmiriQuran-Regular,0.9547,0.0453
Arabic,MarkaziText[wght],Parastoo[wght],0.9547,0.0453
Arabic,BalooBhaijaan2[wght],IBMPlexSansArabic-Medium,0.9546,0.0454
Arabic,IBMPlexSansArabic-Medium,PlaypenSansArabic[wght],0.9541,0.0459
Arabic,Rubik-Italic[wght],"NotoSansArabic[wdth,wght]",0.9538,0.0462
Arabic,Rubik[wght],"NotoSansArabic[wdth,wght]",0.9538,0.0462
Arabic,Amiri-Italic,Amiri-Regular,0.9536,0.0464
Arabic,IBMPlexSansArabic-ExtraLight,IBMPlexSansArabic-Medium,0.9533,0.0467
Arabic,Almarai-ExtraBold,Zain-ExtraBold,0.953,0.047
Arabic,Harmattan-Regular,Mirza-Regular,0.9529,0.0471
Arabic,AmiriQuran-Regular,Amiri-BoldItalic,0.9529,0.0471
Arabic,Amiri-Regular,Amiri-BoldItalic,0.9526,0.0474
