font_name,script
Alkatra[wght],Bengali
"AnekBangla[wdth,wght]",Bengali
Atma-Bold,Bengali
Atma-Light,Bengali
Atma-Medium,Bengali
Atma-Regular,Bengali
Atma-SemiBold,Bengali
BalooDa2[wght],Bengali
Galada-Regular,Bengali
HindSiliguri-Bold,Bengali
HindSiliguri-Light,Bengali
HindSiliguri-Medium,Bengali
HindSiliguri-Regular,Bengali
HindSiliguri-SemiBold,Bengali
Lohit-Bengali,Bengali
Mina-Bold,Bengali
Mina-Regular,Bengali
"NotoSansBengali[wdth,wght]",Bengali
"NotoSansBengaliUI[wdth,wght]",Bengali
"NotoSerifBengali[wdth,wght]",Bengali
TiroBangla-Italic,Bengali
TiroBangla-Regular,Bengali
