script,font_1,font_2,cosine_similarity,cosine_distance
Bengali,HindSiliguri-Bold,HindSiliguri-SemiBold,0.9922,0.0078
Bengali,HindSiliguri-Medium,HindSiliguri-Regular,0.9896,0.0104
Bengali,"NotoSansBengali[wdth,wght]","NotoSansBengaliUI[wdth,wght]",0.9884,0.0116
Bengali,HindSiliguri-Light,HindSiliguri-Regular,0.986,0.014
Bengali,HindSiliguri-Medium,HindSiliguri-SemiBold,0.9785,0.0215
Bengali,Mina-Bold,Mina-Regular,0.9766,0.0234
Bengali,HindSiliguri-Light,HindSiliguri-Medium,0.9763,0.0237
Bengali,HindSiliguri-Light,HindSiliguri-SemiBold,0.9727,0.0273
Bengali,HindSiliguri-Bold,HindSiliguri-Medium,0.9713,0.0287
Bengali,Atma-Bold,Atma-SemiBold,0.9711,0.0289
Bengali,HindSiliguri-Regular,HindSiliguri-SemiBold,0.9685,0.0315
Bengali,Atma-Medium,Atma-SemiBold,0.9667,0.0333
Bengali,"AnekBangla[wdth,wght]",BalooDa2[wght],0.9642,0.0358
Bengali,HindSiliguri-Light,Lohit-Bengali,0.9642,0.0358
Bengali,Atma-Medium,Atma-Regular,0.9631,0.0369
Bengali,HindSiliguri-SemiBold,Mina-Bold,0.9622,0.0378
Bengali,HindSiliguri-Bold,Mina-Bold,0.9604,0.0396
Bengali,"NotoSerifBengali[wdth,wght]",TiroBangla-Regular,0.96,0.04
Bengali,HindSiliguri-SemiBold,Lohit-Bengali,0.9579,0.0421
Bengali,HindSiliguri-Bold,HindSiliguri-Regular,0.954,0.046
Bengali,HindSiliguri-Regular,Lohit-Bengali,0.954,0.046
Bengali,HindSiliguri-Bold,HindSiliguri-Light,0.9539,0.0461
Bengali,BalooDa2[wght],HindSiliguri-Regular,0.9525,0.0475
Bengali,HindSiliguri-Regular,Mina-Regular,0.9523,0.0477
Bengali,Lohit-Bengali,Mina-Regular,0.9519,0.0481
Bengali,HindSiliguri-Medium,Lohit-Bengali,0.9516,0.0484
Bengali,HindSiliguri-Light,Mina-Regular,0.9514,0.0486
Bengali,"AnekBangla[wdth,wght]",HindSiliguri-Regular,0.951,0.049
Bengali,HindSiliguri-Medium,Mina-Bold,0.9506,0.0494
Bengali,HindSiliguri-SemiBold,Mina-Regular,0.9506,0.0494
Bengali,HindSiliguri-Regular,Mina-Bold,0.9503,0.0497
Bengali,"AnekBangla[wdth,wght]",HindSiliguri-Medium,0.9479,0.0521
Bengali,Atma-Light,Atma-Regular,0.9473,0.0527
Bengali,HindSiliguri-Bold,Lohit-Bengali,0.9466,0.0534
Bengali,HindSiliguri-Medium,Mina-Regular,0.9456,0.0544
Bengali,"AnekBangla[wdth,wght]",Mina-Bold,0.9455,0.0545
Bengali,Alkatra[wght],BalooDa2[wght],0.9424,0.0576
Bengali,Mina-Regular,"NotoSerifBengali[wdth,wght]",0.9421,0.0579
Bengali,HindSiliguri-Light,Mina-Bold,0.9421,0.0579
Bengali,Lohit-Bengali,"NotoSerifBengali[wdth,wght]",0.9421,0.0579
Bengali,Lohit-Bengali,Mina-Bold,0.9414,0.0586
Bengali,BalooDa2[wght],HindSiliguri-Medium,0.9399,0.0601
Bengali,HindSiliguri-Bold,Mina-Regular,0.9388,0.0612
Bengali,BalooDa2[wght],"NotoSerifBengali[wdth,wght]",0.9379,0.0621
Bengali,HindSiliguri-Regular,"NotoSerifBengali[wdth,wght]",0.9351,0.0649
Bengali,HindSiliguri-Light,"NotoSerifBengali[wdth,wght]",0.9314,0.0686
Bengali,BalooDa2[wght],Mina-Regular,0.9308,0.0692
Bengali,BalooDa2[wght],Lohit-Bengali,0.9299,0.0701
Bengali,BalooDa2[wght],HindSiliguri-Light,0.9298,0.0702
Bengali,"AnekBangla[wdth,wght]",Mina-Regular,0.9297,0.0703
Bengali,Alkatra[wght],"AnekBangla[wdth,wght]",0.9252,0.0748
Bengali,"AnekBangla[wdth,wght]",HindSiliguri-SemiBold,0.9251,0.0749
Bengali,Atma-SemiBold,HindSiliguri-Light,0.9249,0.0751
Bengali,BalooDa2[wght],Mina-Bold,0.9244,0.0756
Bengali,"AnekBangla[wdth,wght]",HindSiliguri-Bold,0.9238,0.0762
Bengali,HindSiliguri-Medium,"NotoSerifBengali[wdth,wght]",0.9228,0.0772
Bengali,"AnekBangla[wdth,wght]",HindSiliguri-Light,0.9221,0.0779
Bengali,Atma-Bold,HindSiliguri-SemiBold,0.9204,0.0796
Bengali,"AnekBangla[wdth,wght]",Lohit-Bengali,0.917,0.083
Bengali,Mina-Regular,"NotoSansBengaliUI[wdth,wght]",0.9157,0.0843
Bengali,Alkatra[wght],HindSiliguri-Regular,0.9142,0.0858
Bengali,Atma-Light,Atma-Medium,0.9128,0.0872
Bengali,Lohit-Bengali,TiroBangla-Italic,0.9125,0.0875
Bengali,Atma-Medium,HindSiliguri-Light,0.9118,0.0882
Bengali,BalooDa2[wght],"NotoSansBengaliUI[wdth,wght]",0.9117,0.0883
Bengali,Mina-Regular,TiroBangla-Regular,0.9115,0.0885
Bengali,"NotoSansBengaliUI[wdth,wght]","NotoSerifBengali[wdth,wght]",0.9104,0.0896
Bengali,Atma-Bold,HindSiliguri-Bold,0.9101,0.0899
Bengali,Atma-SemiBold,HindSiliguri-SemiBold,0.9101,0.0899
Bengali,Atma-Bold,Atma-Medium,0.9099,0.0901
Bengali,Atma-SemiBold,"NotoSerifBengali[wdth,wght]",0.9083,0.0917
Bengali,Mina-Bold,"NotoSansBengaliUI[wdth,wght]",0.9074,0.0926
Bengali,Atma-Medium,"NotoSerifBengali[wdth,wght]",0.9073,0.0927
Bengali,Atma-Bold,HindSiliguri-Light,0.9068,0.0932
Bengali,Galada-Regular,TiroBangla-Italic,0.9063,0.0937
Bengali,Atma-SemiBold,HindSiliguri-Regular,0.9058,0.0942
Bengali,Lohit-Bengali,TiroBangla-Regular,0.9055,0.0945
Bengali,BalooDa2[wght],HindSiliguri-SemiBold,0.9051,0.0949
Bengali,Mina-Bold,"NotoSerifBengali[wdth,wght]",0.9049,0.0951
Bengali,Atma-SemiBold,Mina-Regular,0.9048,0.0952
Bengali,"NotoSerifBengali[wdth,wght]",TiroBangla-Italic,0.9041,0.0959
Bengali,"NotoSansBengali[wdth,wght]","NotoSerifBengali[wdth,wght]",0.9037,0.0963
Bengali,Atma-Bold,HindSiliguri-Medium,0.9035,0.0965
Bengali,HindSiliguri-SemiBold,"NotoSerifBengali[wdth,wght]",0.9035,0.0965
Bengali,Atma-Bold,Mina-Regular,0.9034,0.0966
Bengali,Atma-SemiBold,HindSiliguri-Medium,0.9033,0.0967
Bengali,Alkatra[wght],Mina-Bold,0.9033,0.0967
Bengali,Alkatra[wght],HindSiliguri-Medium,0.9032,0.0968
Bengali,Atma-Bold,Lohit-Bengali,0.9028,0.0972
Bengali,BalooDa2[wght],"NotoSansBengali[wdth,wght]",0.9022,0.0978
Bengali,Atma-SemiBold,Lohit-Bengali,0.9019,0.0981
Bengali,HindSiliguri-Regular,"NotoSansBengaliUI[wdth,wght]",0.9018,0.0982
Bengali,HindSiliguri-Medium,"NotoSansBengaliUI[wdth,wght]",0.9003,0.0997
Bengali,Atma-Medium,TiroBangla-Italic,0.8996,0.1004
Bengali,Alkatra[wght],TiroBangla-Italic,0.8995,0.1005
Bengali,Alkatra[wght],Lohit-Bengali,0.899,0.101
Bengali,Atma-Bold,Mina-Bold,0.8981,0.1019
Bengali,Atma-Bold,HindSiliguri-Regular,0.898,0.102
Bengali,BalooDa2[wght],TiroBangla-Regular,0.8975,0.1025
Bengali,Atma-SemiBold,Galada-Regular,0.8975,0.1025
Bengali,Atma-Regular,Atma-SemiBold,0.8969,0.1031
Bengali,Lohit-Bengali,"NotoSansBengaliUI[wdth,wght]",0.8969,0.1031
Bengali,BalooDa2[wght],HindSiliguri-Bold,0.8959,0.1041
Bengali,Alkatra[wght],Mina-Regular,0.8955,0.1045
Bengali,Atma-SemiBold,TiroBangla-Regular,0.895,0.105
Bengali,BalooDa2[wght],TiroBangla-Italic,0.8945,0.1055
Bengali,Alkatra[wght],HindSiliguri-Light,0.8938,0.1062
Bengali,Mina-Regular,"NotoSansBengali[wdth,wght]",0.8917,0.1083
Bengali,Atma-SemiBold,HindSiliguri-Bold,0.8897,0.1103
Bengali,HindSiliguri-Regular,"NotoSansBengali[wdth,wght]",0.8896,0.1104
Bengali,Atma-Medium,Lohit-Bengali,0.8891,0.1109
