font_name,script
PT_Serif-Web-Italic,Cyrillic
Philosopher-BoldItalic,Cyrillic
RubikMaps-Regular,Cyrillic
BellotaText-LightItalic,Cyrillic
RocknRollOne-Regular,Cyrillic
FiraSans-ThinItalic,Cyrillic
"OpenSans[wdth,wght]",Cyrillic
Lato-ExtraBoldItalic,Cyrillic
NanumGothicCoding-Regular,Cyrillic
MPLUS1p-Medium,Cyrillic
RubikVinyl-Regular,Cyrillic
Andika-BoldItalic,Cyrillic
KaiseiDecol-Medium,Cyrillic
KaiseiOpti-Medium,Cyrillic
KaiseiOpti-Bold,Cyrillic
SpectralSC-SemiBoldItalic,Cyrillic
"NunitoSans[YTLC,opsz,wdth,wght]",Cyrillic
AlumniSansCollegiateOne-Italic,Cyrillic
RubikStorm-Regular,Cyrillic
AlumniSansCollegiateOne-Regular,Cyrillic
Arsenal-Italic,Cyrillic
YujiMai-Regular,Cyrillic
RobotoCondensed[wght],Cyrillic
RubikDirt-Regular,Cyrillic
Alegreya-Italic[wght],Cyrillic
Jost[wght],Cyrillic
Andika-Italic,Cyrillic
MontserratAlternates-BlackItalic,Cyrillic
MPLUS1p-Bold,Cyrillic
"NotoSansMono[wdth,wght]",Cyrillic
Cuprum[wght],Cyrillic
Ubuntu-Light,Cyrillic
Sansation-Light,Cyrillic
Gidole-Regular,Cyrillic
LXGWWenKaiMonoTC-Bold,Cyrillic
IosevkaCharon-MediumItalic,Cyrillic
GothicA1-Black,Cyrillic
OrelegaOne-Regular,Cyrillic
PodkovaVFBeta,Cyrillic
MontserratAlternates-MediumItalic,Cyrillic
Rubik-Italic[wght],Cyrillic
UbuntuMono-Regular,Cyrillic
SpectralSC-Light,Cyrillic
Pushster-Regular,Cyrillic
PlayfairDisplaySC-Black,Cyrillic
Montserrat[wght],Cyrillic
FlowCircular-Regular,Cyrillic
MontserratAlternates-Thin,Cyrillic
ComicRelief-Regular,Cyrillic
EBGaramond-Italic[wght],Cyrillic
CascadiaMono-Italic[wght],Cyrillic
FiraSansExtraCondensed-Medium,Cyrillic
FiraSansCondensed-Black,Cyrillic
Shafarik-Regular,Cyrillic
MontserratAlternates-Bold,Cyrillic
"TikTokSans[opsz,slnt,wdth,wght]",Cyrillic
FiraSans-MediumItalic,Cyrillic
NotoSansTC[wght],Cyrillic
AlegreyaSans-ExtraBoldItalic,Cyrillic
FiraSans-ExtraLightItalic,Cyrillic
AlegreyaSans-LightItalic,Cyrillic
AlegreyaSans-Italic,Cyrillic
AlegreyaSansSC-Black,Cyrillic
UbuntuMono-Italic,Cyrillic
IBMPlexMono-SemiBoldItalic,Cyrillic
RubikMicrobe-Regular,Cyrillic
ZenOldMincho-Medium,Cyrillic
IosevkaCharonMono-Bold,Cyrillic
WDXLLubrifontSC-Regular,Cyrillic
Lato-BoldItalic,Cyrillic
KaiseiTokumin-Regular,Cyrillic
Prata-Regular,Cyrillic
FiraSansCondensed-ThinItalic,Cyrillic
Play-Bold,Cyrillic
IstokWeb-Italic,Cyrillic
SpectralSC-ExtraLight,Cyrillic
Batang-Regular,Cyrillic
FiraSans-Black,Cyrillic
"UbuntuSans-Italic[wdth,wght]",Cyrillic
AlegreyaSC-BlackItalic,Cyrillic
YsabeauInfant-Italic[wght],Cyrillic
RoundedMplus1c-ExtraBold,Cyrillic
SpectralSC-ExtraBoldItalic,Cyrillic
IosevkaCharonMono-MediumItalic,Cyrillic
IosevkaCharon-Light,Cyrillic
BIZUDPMincho-Regular,Cyrillic
ZenKakuGothicAntique-Regular,Cyrillic
MPLUS1p-Thin,Cyrillic
JejuGothic-Regular,Cyrillic
BIZUDPGothic-Regular,Cyrillic
Manrope[wght],Cyrillic
Arsenal-Bold,Cyrillic
Tinos-BoldItalic,Cyrillic
CormorantUnicase-Bold,Cyrillic
Ubuntu-LightItalic,Cyrillic
KaiseiTokumin-ExtraBold,Cyrillic
Ubuntu-Regular,Cyrillic
"SourceSerif4-Italic[opsz,wght]",Cyrillic
AlegreyaSans-ExtraBold,Cyrillic
ZenOldMincho-Black,Cyrillic
