script,font_1,font_2,cosine_similarity,cosine_distance
Cyrillic,KaiseiDecol-Medium,KaiseiOpti-Medium,1.0,-0.0
Cyrillic,MPLUS1p-Medium,MPLUS1p-Bold,0.9963,0.0037
Cyrillic,KaiseiOpti-Bold,KaiseiTokumin-ExtraBold,0.9954,0.0046
Cyrillic,RobotoCondensed[wght],Gidole-Regular,0.9942,0.0058
Cyrillic,ZenOldMincho-Medium,ZenOldMincho-Black,0.9931,0.0069
Cyrillic,CascadiaMono-Italic[wght],IBMPlexMono-SemiBoldItalic,0.9912,0.0088
Cyrillic,SpectralSC-Light,SpectralSC-ExtraLight,0.9905,0.0095
Cyrillic,"OpenSans[wdth,wght]",Ubuntu-Regular,0.9904,0.0096
Cyrillic,KaiseiOpti-Medium,KaiseiTokumin-Regular,0.9902,0.0098
Cyrillic,KaiseiDecol-Medium,KaiseiTokumin-Regular,0.9902,0.0098
Cyrillic,FiraSans-ThinItalic,FiraSans-ExtraLightItalic,0.99,0.01
Cyrillic,"OpenSans[wdth,wght]",MPLUS1p-Medium,0.9898,0.0102
Cyrillic,Ubuntu-Light,Ubuntu-Regular,0.9897,0.0103
Cyrillic,RobotoCondensed[wght],Cuprum[wght],0.9895,0.0105
Cyrillic,MPLUS1p-Medium,Ubuntu-Regular,0.9894,0.0106
Cyrillic,KaiseiDecol-Medium,KaiseiTokumin-ExtraBold,0.9891,0.0109
Cyrillic,KaiseiOpti-Medium,KaiseiTokumin-ExtraBold,0.9891,0.0109
Cyrillic,KaiseiDecol-Medium,KaiseiOpti-Bold,0.9889,0.0111
Cyrillic,KaiseiOpti-Medium,KaiseiOpti-Bold,0.9889,0.0111
Cyrillic,Lato-ExtraBoldItalic,Lato-BoldItalic,0.9888,0.0112
Cyrillic,FiraSansCondensed-Black,FiraSans-Black,0.9886,0.0114
Cyrillic,Cuprum[wght],Gidole-Regular,0.9882,0.0118
Cyrillic,RobotoCondensed[wght],FiraSansExtraCondensed-Medium,0.9882,0.0118
Cyrillic,AlegreyaSansSC-Black,AlegreyaSans-ExtraBold,0.9878,0.0122
Cyrillic,"OpenSans[wdth,wght]",Ubuntu-Light,0.9878,0.0122
Cyrillic,SpectralSC-SemiBoldItalic,SpectralSC-ExtraBoldItalic,0.9873,0.0127
Cyrillic,Cuprum[wght],FiraSansExtraCondensed-Medium,0.9866,0.0134
Cyrillic,"OpenSans[wdth,wght]",Jost[wght],0.9863,0.0137
Cyrillic,"NotoSansMono[wdth,wght]",Gidole-Regular,0.9861,0.0139
Cyrillic,RobotoCondensed[wght],"NotoSansMono[wdth,wght]",0.9857,0.0143
Cyrillic,MPLUS1p-Bold,Ubuntu-Regular,0.9856,0.0144
Cyrillic,KaiseiOpti-Bold,KaiseiTokumin-Regular,0.985,0.015
Cyrillic,SpectralSC-ExtraBoldItalic,Tinos-BoldItalic,0.985,0.015
Cyrillic,"OpenSans[wdth,wght]",MPLUS1p-Bold,0.9849,0.0151
Cyrillic,Gidole-Regular,FiraSansExtraCondensed-Medium,0.983,0.017
Cyrillic,SpectralSC-Light,Batang-Regular,0.9819,0.0181
Cyrillic,KaiseiTokumin-Regular,KaiseiTokumin-ExtraBold,0.9819,0.0181
Cyrillic,Arsenal-Bold,AlegreyaSans-ExtraBold,0.9816,0.0184
Cyrillic,RobotoCondensed[wght],IosevkaCharon-Light,0.9816,0.0184
Cyrillic,IstokWeb-Italic,"UbuntuSans-Italic[wdth,wght]",0.9814,0.0186
Cyrillic,Jost[wght],Ubuntu-Regular,0.9813,0.0187
Cyrillic,Andika-BoldItalic,Andika-Italic,0.9812,0.0188
Cyrillic,AlegreyaSans-LightItalic,AlegreyaSans-Italic,0.9811,0.0189
Cyrillic,"UbuntuSans-Italic[wdth,wght]",Ubuntu-LightItalic,0.9809,0.0191
Cyrillic,FiraSans-ThinItalic,FiraSansCondensed-ThinItalic,0.9806,0.0194
Cyrillic,KaiseiTokumin-Regular,ZenOldMincho-Black,0.9805,0.0195
Cyrillic,Cuprum[wght],WDXLLubrifontSC-Regular,0.9804,0.0196
Cyrillic,Montserrat[wght],MontserratAlternates-Thin,0.9804,0.0196
Cyrillic,Rubik-Italic[wght],IstokWeb-Italic,0.9802,0.0198
Cyrillic,Play-Bold,FiraSans-Black,0.9802,0.0198
Cyrillic,MPLUS1p-Bold,FiraSans-Black,0.9802,0.0198
Cyrillic,PT_Serif-Web-Italic,SpectralSC-SemiBoldItalic,0.9801,0.0199
Cyrillic,"TikTokSans[opsz,slnt,wdth,wght]",Ubuntu-Regular,0.9801,0.0199
Cyrillic,"NotoSansMono[wdth,wght]",Cuprum[wght],0.9799,0.0201
