font_name,script
TiroDevanagariMarathi-Italic,Devanagari
Yantramanav-Regular,Devanagari
Palanquin-Regular,Devanagari
Sarala-Bold,Devanagari
Baloo2[wght],Devanagari
Modak-Regular,Devanagari
Sarpanch-Medium,Devanagari
Kalam-Regular,Devanagari
VesperLibre-Bold,Devanagari
Palanquin-SemiBold,Devanagari
Poppins-Regular,Devanagari
EkMukta-Bold,Devanagari
Sumana-Regular,Devanagari
AnnapurnaSIL-Bold,Devanagari
Jaldi-Bold,Devanagari
Sahitya-Regular,Devanagari
Ranga-Regular,Devanagari
Biryani-Bold,Devanagari
Poppins-Italic,Devanagari
JainiPurva-Regular,Devanagari
Sitara-BoldItalic,Devanagari
PalanquinDark-Medium,Devanagari
Khand-Bold,Devanagari
Cambay-BoldItalic,Devanagari
MartelSans-Bold,Devanagari
Poppins-Black,Devanagari
Poppins-SemiBoldItalic,Devanagari
Bhavuka-Regular,Devanagari
Halant-SemiBold,Devanagari
TiroDevanagariHindi-Italic,Devanagari
MartelSans-Regular,Devanagari
IBMPlexSansDevanagari-Regular,Devanagari
Mukta-Bold,Devanagari
Sura-Regular,Devanagari
NotoSansDevanagariUI-ExtraBold,Devanagari
NotoSansDevanagariUI-Regular,Devanagari
Karma-Light,Devanagari
Palanquin-ExtraLight,Devanagari
Mukta-SemiBold,Devanagari
Martel-ExtraBold,Devanagari
Martel-Bold,Devanagari
Sarpanch-SemiBold,Devanagari
Mukta-Regular,Devanagari
Laila-Regular,Devanagari
Khula-Bold,Devanagari
Lohit-Devanagari,Devanagari
Palanquin-Medium,Devanagari
Yantramanav-Light,Devanagari
Khula-Light,Devanagari
Poppins-ThinItalic,Devanagari
Poppins-ExtraLightItalic,Devanagari
Glegoo-Bold,Devanagari
Cambay-Bold,Devanagari
Rajdhani-SemiBold,Devanagari
"NotoSans[wdth,wght]",Devanagari
Eczar[wght],Devanagari
Biryani-ExtraBold,Devanagari
Kadwa-Bold,Devanagari
Martel-DemiBold,Devanagari
InknutAntiqua-ExtraBold,Devanagari
Jaldi-Regular,Devanagari
Amiko-SemiBold,Devanagari
Palanquin-Light,Devanagari
IBMPlexSansDevanagari-SemiBold,Devanagari
Martel-Light,Devanagari
Poppins-ExtraLight,Devanagari
Khand-Regular,Devanagari
Jaini-Regular,Devanagari
MartelSans-SemiBold,Devanagari
Sarpanch-Regular,Devanagari
EkMukta-ExtraBold,Devanagari
Arya-Regular,Devanagari
EkMukta-Regular,Devanagari
Dekko-Regular,Devanagari
Halant-Light,Devanagari
Yantramanav-Black,Devanagari
Martel-Regular,Devanagari
Poppins-BlackItalic,Devanagari
IBMPlexSansDevanagari-Bold,Devanagari
VesperLibre-Heavy,Devanagari
Sarpanch-Bold,Devanagari
Karma-Medium,Devanagari
Halant-Bold,Devanagari
Karma-SemiBold,Devanagari
NotoSansDevanagariUI-Medium,Devanagari
Cambay-Italic,Devanagari
PalanquinDark-Regular,Devanagari
Mukta-ExtraBold,Devanagari
NotoSansDevanagariUI-ExtraLight,Devanagari
Alkatra[wght],Devanagari
Karma-Regular,Devanagari
Hind-Bold,Devanagari
Sahitya-Bold,Devanagari
Mukta-Light,Devanagari
Laila-Bold,Devanagari
Khula-ExtraBold,Devanagari
PalanquinDark-SemiBold,Devanagari
EkMukta-SemiBold,Devanagari
NotoSansDevanagariUI-Black,Devanagari
