script,font_1,font_2,cosine_similarity,cosine_distance
Devanagari,TiroDevanagariMarathi-Italic,TiroDevanagariHindi-Italic,1.0,0.0
Devanagari,Mukta-Regular,EkMukta-Regular,1.0,-0.0
Devanagari,EkMukta-ExtraBold,Mukta-ExtraBold,1.0,0.0
Devanagari,EkMukta-Bold,Mukta-Bold,1.0,0.0
Devanagari,JainiPurva-Regular,Jaini-Regular,1.0,0.0
Devanagari,Mukta-SemiBold,EkMukta-SemiBold,1.0,-0.0
Devanagari,Sarpanch-SemiBold,Sarpanch-Bold,0.9983,0.0017
Devanagari,Sarpanch-Medium,Sarpanch-Regular,0.9981,0.0019
Devanagari,NotoSansDevanagariUI-Regular,"NotoSans[wdth,wght]",0.9978,0.0022
Devanagari,IBMPlexSansDevanagari-SemiBold,IBMPlexSansDevanagari-Bold,0.9978,0.0022
Devanagari,Palanquin-SemiBold,PalanquinDark-Regular,0.997,0.003
Devanagari,Mukta-Regular,Mukta-Light,0.997,0.003
Devanagari,EkMukta-Regular,Mukta-Light,0.997,0.003
Devanagari,EkMukta-Bold,Mukta-SemiBold,0.9966,0.0034
Devanagari,Mukta-Bold,Mukta-SemiBold,0.9966,0.0034
Devanagari,EkMukta-Bold,EkMukta-SemiBold,0.9966,0.0034
Devanagari,Mukta-Bold,EkMukta-SemiBold,0.9966,0.0034
Devanagari,Mukta-Bold,EkMukta-ExtraBold,0.9956,0.0044
Devanagari,Mukta-Bold,Mukta-ExtraBold,0.9956,0.0044
Devanagari,EkMukta-Bold,EkMukta-ExtraBold,0.9956,0.0044
Devanagari,EkMukta-Bold,Mukta-ExtraBold,0.9956,0.0044
Devanagari,Sarpanch-Medium,Sarpanch-SemiBold,0.9951,0.0049
Devanagari,Mukta-SemiBold,Mukta-ExtraBold,0.9949,0.0051
Devanagari,Mukta-SemiBold,EkMukta-ExtraBold,0.9949,0.0051
Devanagari,EkMukta-ExtraBold,EkMukta-SemiBold,0.9949,0.0051
Devanagari,Mukta-ExtraBold,EkMukta-SemiBold,0.9949,0.0051
Devanagari,PalanquinDark-Medium,PalanquinDark-Regular,0.9948,0.0052
Devanagari,PalanquinDark-Medium,PalanquinDark-SemiBold,0.9946,0.0054
Devanagari,Halant-SemiBold,Halant-Bold,0.9938,0.0062
Devanagari,Khula-Bold,Khula-ExtraBold,0.9935,0.0065
Devanagari,NotoSansDevanagariUI-Regular,NotoSansDevanagariUI-Medium,0.9935,0.0065
Devanagari,Palanquin-ExtraLight,Palanquin-Light,0.9935,0.0065
Devanagari,"NotoSans[wdth,wght]",NotoSansDevanagariUI-Medium,0.9932,0.0068
Devanagari,Palanquin-Regular,Palanquin-Medium,0.9931,0.0069
Devanagari,Palanquin-SemiBold,Palanquin-Medium,0.9922,0.0078
Devanagari,VesperLibre-Bold,VesperLibre-Heavy,0.9919,0.0081
Devanagari,Martel-ExtraBold,Martel-Bold,0.9918,0.0082
Devanagari,Sarpanch-Medium,Sarpanch-Bold,0.991,0.009
Devanagari,Poppins-ThinItalic,Poppins-ExtraLightItalic,0.9908,0.0092
Devanagari,Biryani-Bold,Biryani-ExtraBold,0.9908,0.0092
Devanagari,Martel-Light,Martel-Regular,0.9907,0.0093
Devanagari,Palanquin-SemiBold,PalanquinDark-Medium,0.9905,0.0095
Devanagari,Palanquin-Regular,Palanquin-Light,0.9905,0.0095
Devanagari,Sarpanch-SemiBold,Sarpanch-Regular,0.99,0.01
Devanagari,Palanquin-Medium,PalanquinDark-Regular,0.9894,0.0106
Devanagari,Martel-DemiBold,Martel-Regular,0.9887,0.0113
Devanagari,IBMPlexSansDevanagari-Regular,IBMPlexSansDevanagari-SemiBold,0.9885,0.0115
Devanagari,PalanquinDark-Regular,PalanquinDark-SemiBold,0.9874,0.0126
Devanagari,AnnapurnaSIL-Bold,Halant-SemiBold,0.9869,0.0131
Devanagari,MartelSans-Bold,MartelSans-SemiBold,0.986,0.014
Devanagari,Sarala-Bold,IBMPlexSansDevanagari-Bold,0.9855,0.0145
Devanagari,Martel-Bold,Martel-DemiBold,0.9855,0.0145
Devanagari,Poppins-Italic,Poppins-SemiBoldItalic,0.9854,0.0146
Devanagari,Palanquin-Regular,Palanquin-SemiBold,0.9851,0.0149
Devanagari,Kadwa-Bold,PalanquinDark-Regular,0.9846,0.0154
Devanagari,Sarpanch-Regular,Sarpanch-Bold,0.9844,0.0156
Devanagari,PalanquinDark-Medium,Kadwa-Bold,0.9842,0.0158
Devanagari,Palanquin-SemiBold,Kadwa-Bold,0.984,0.016
Devanagari,VesperLibre-Bold,Sura-Regular,0.984,0.016
Devanagari,PalanquinDark-Medium,Palanquin-Medium,0.9834,0.0166
Devanagari,Palanquin-Regular,Palanquin-ExtraLight,0.9833,0.0167
Devanagari,NotoSansDevanagariUI-ExtraBold,NotoSansDevanagariUI-Black,0.9833,0.0167
Devanagari,Baloo2[wght],Sura-Regular,0.9825,0.0175
Devanagari,VesperLibre-Bold,Sahitya-Bold,0.9823,0.0177
Devanagari,Karma-Light,NotoSansDevanagariUI-ExtraLight,0.9821,0.0179
Devanagari,Palanquin-Medium,Kadwa-Bold,0.982,0.018
Devanagari,Palanquin-SemiBold,PalanquinDark-SemiBold,0.9818,0.0182
Devanagari,IBMPlexSansDevanagari-Regular,IBMPlexSansDevanagari-Bold,0.9816,0.0184
Devanagari,Sumana-Regular,Sahitya-Bold,0.9815,0.0185
Devanagari,AnnapurnaSIL-Bold,Halant-Bold,0.9812,0.0188
Devanagari,Palanquin-Medium,Palanquin-Light,0.9811,0.0189
Devanagari,Sarala-Bold,IBMPlexSansDevanagari-SemiBold,0.981,0.019
Devanagari,Sura-Regular,Sahitya-Bold,0.9809,0.0191
Devanagari,Palanquin-Regular,PalanquinDark-Regular,0.9803,0.0197
Devanagari,Khand-Bold,Biryani-ExtraBold,0.9798,0.0202
Devanagari,Sarala-Bold,Kadwa-Bold,0.9793,0.0207
Devanagari,Sura-Regular,Jaldi-Regular,0.9791,0.0209
Devanagari,Kadwa-Bold,IBMPlexSansDevanagari-Bold,0.9791,0.0209
Devanagari,Kadwa-Bold,PalanquinDark-SemiBold,0.979,0.021
Devanagari,MartelSans-Regular,EkMukta-SemiBold,0.9789,0.0211
Devanagari,Glegoo-Bold,IBMPlexSansDevanagari-SemiBold,0.9789,0.0211
Devanagari,MartelSans-Regular,Mukta-SemiBold,0.9789,0.0211
