font_name,script
ChironHeiHK-Italic[wght],Han
Stick-Regular,Han
Gungsuh-Regular,Han
LINESeedJP-Bold,Han
BpmfZihiKaiStd-Regular,Han
RoundedMplus1c-Bold,Han
ZenOldMincho-Medium,Han
NotoSerifKR[wght],Han
TrainOne-Regular,Han
DelaGothicOne-Regular,Han
ZenKakuGothicNew-Bold,Han
IBMPlexSansJP-SemiBold,Han
RoundedMplus1c-Black,Han
BpmfIansui-Regular,Han
NotoSerifTC[wght],Han
OtomanopeeOne-Regular,Han
MochiyPopPOne-Regular,Han
BIZUDMincho-Regular,Han
PottaOne-Regular,Han
ChironGoRoundTC[wght],Han
KoPubBatang-Regular,Han
KiwiMaru-Medium,Han
ZenMaruGothic-Light,Han
ZenMaruGothic-Regular,Han
ZCOOLKuaiLe-Regular,Han
RocknRollOne-Regular,Han
KoPubBatang-Light,Han
MPLUS1p-Regular,Han
KaiseiTokumin-Bold,Han
GulimChe-Regular,Han
ShipporiAntique-Regular,Han
WDXLLubrifontTC-Regular,Han
GungsuhChe-Regular,Han
BIZUDPMincho-Bold,Han
IBMPlexSansJP-Thin,Han
ZenKakuGothicAntique-Bold,Han
ShipporiMinchoB1-Medium,Han
MPLUSRounded1c-Regular,Han
ZenKakuGothicAntique-Medium,Han
IBMPlexSansJP-Light,Han
NotoSerifJP[wght],Han
MPLUS1p-Black,Han
LINESeedJP-ExtraBold,Han
WDXLLubrifontJPN-Regular,Han
Murecho[wght],Han
RoundedMplus1c-Medium,Han
ZenAntique-Regular,Han
KaiseiHarunoUmi-Regular,Han
LXGWWenKaiMonoTC-Regular,Han
KaiseiTokumin-ExtraBold,Han
Dotum-Regular,Han
ZCOOLXiaoWei-Regular,Han
ShipporiAntiqueB1-Regular,Han
NotoSansKR[wght],Han
LXGWWenKaiTC-Light,Han
IBMPlexSansJP-Bold,Han
MPLUSRounded1c-Black,Han
ChironSungHK[wght],Han
Yomogi-Regular,Han
MPLUSRounded1c-Medium,Han
LINESeedJP-Regular,Han
ZenMaruGothic-Black,Han
BIZUDPGothic-Regular,Han
BIZUDGothic-Bold,Han
DotumChe-Regular,Han
WDXLLubrifontSC-Regular,Han
Batang-Regular,Han
HachiMaruPop-Regular,Han
MPLUSRounded1c-ExtraBold,Han
ZenMaruGothic-Medium,Han
LXGWWenKaiMonoTC-Light,Han
BIZUDPGothic-Bold,Han
YujiBoku-Regular,Han
RoundedMplus1c-Regular,Han
Kosugi-Regular,Han
ShipporiMincho-SemiBold,Han
SawarabiGothic-Regular,Han
KoPubBatang-Bold,Han
MPLUSRounded1c-Light,Han
Gulim-Regular,Han
IBMPlexSansJP-Regular,Han
SawarabiMincho-Regular,Han
DotGothic16-Regular,Han
ChocolateClassicalSans-Regular,Han
ShipporiMinchoB1-Regular,Han
MochiyPopOne-Regular,Han
LXGWWenKaiTC-Regular,Han
MPLUS1Code[wght],Han
IBMPlexSansJP-Medium,Han
NewTegomin-Regular,Han
MPLUS1p-Bold,Han
RoundedMplus1c-ExtraBold,Han
ZenOldMincho-Bold,Han
YujiSyuku-Regular,Han
KaiseiDecol-Medium,Han
MPLUSRounded1c-Bold,Han
UoqMunThenKhung-Regular,Han
