script,font_1,font_2,cosine_similarity,cosine_distance
Han,RoundedMplus1c-Medium,MPLUSRounded1c-Medium,1.0,0.0
Han,Dotum-Regular,Gulim-Regular,1.0,0.0
Han,MPLUSRounded1c-Regular,RoundedMplus1c-Regular,1.0,-0.0
Han,GulimChe-Regular,Gulim-Regular,1.0,0.0
Han,RoundedMplus1c-Bold,MPLUSRounded1c-Bold,1.0,-0.0
Han,MochiyPopPOne-Regular,MochiyPopOne-Regular,1.0,0.0
Han,Dotum-Regular,DotumChe-Regular,1.0,0.0
Han,WDXLLubrifontJPN-Regular,WDXLLubrifontSC-Regular,1.0,0.0
Han,GulimChe-Regular,DotumChe-Regular,1.0,0.0
Han,GulimChe-Regular,Dotum-Regular,1.0,0.0
Han,GungsuhChe-Regular,Batang-Regular,1.0,0.0
Han,LXGWWenKaiMonoTC-Regular,LXGWWenKaiTC-Regular,1.0,-0.0
Han,RoundedMplus1c-Black,MPLUSRounded1c-Black,1.0,0.0
Han,BIZUDGothic-Bold,BIZUDPGothic-Bold,1.0,0.0
Han,DotumChe-Regular,Gulim-Regular,1.0,0.0
Han,Gungsuh-Regular,Batang-Regular,1.0,0.0
Han,YujiBoku-Regular,YujiSyuku-Regular,1.0,-0.0
Han,MPLUSRounded1c-ExtraBold,RoundedMplus1c-ExtraBold,1.0,0.0
Han,Gungsuh-Regular,GungsuhChe-Regular,1.0,0.0
Han,ZenKakuGothicNew-Bold,ZenKakuGothicAntique-Bold,1.0,0.0
Han,LXGWWenKaiTC-Light,LXGWWenKaiMonoTC-Light,1.0,-0.0
Han,WDXLLubrifontTC-Regular,WDXLLubrifontSC-Regular,0.9995,0.0005
Han,WDXLLubrifontTC-Regular,WDXLLubrifontJPN-Regular,0.9995,0.0005
Han,MPLUS1p-Regular,MPLUS1Code[wght],0.999,0.001
Han,IBMPlexSansJP-SemiBold,IBMPlexSansJP-Bold,0.9982,0.0018
Han,ShipporiMinchoB1-Medium,ShipporiMinchoB1-Regular,0.9975,0.0025
Han,ZenAntique-Regular,ZenOldMincho-Bold,0.9969,0.0031
Han,ShipporiAntique-Regular,ShipporiAntiqueB1-Regular,0.9969,0.0031
Han,IBMPlexSansJP-SemiBold,IBMPlexSansJP-Medium,0.9968,0.0032
Han,KaiseiHarunoUmi-Regular,KaiseiDecol-Medium,0.9967,0.0033
Han,NotoSerifTC[wght],ChironSungHK[wght],0.9967,0.0033
Han,RoundedMplus1c-Bold,RoundedMplus1c-Medium,0.9966,0.0034
Han,MPLUSRounded1c-Medium,MPLUSRounded1c-Bold,0.9966,0.0034
Han,RoundedMplus1c-Medium,MPLUSRounded1c-Bold,0.9966,0.0034
Han,RoundedMplus1c-Bold,MPLUSRounded1c-Medium,0.9966,0.0034
Han,KaiseiTokumin-Bold,UoqMunThenKhung-Regular,0.9963,0.0037
Han,IBMPlexSansJP-Bold,MPLUS1p-Bold,0.9962,0.0038
Han,LINESeedJP-Bold,MPLUS1p-Bold,0.9962,0.0038
Han,RoundedMplus1c-Bold,MPLUSRounded1c-ExtraBold,0.996,0.004
Han,MPLUSRounded1c-ExtraBold,MPLUSRounded1c-Bold,0.996,0.004
Han,RoundedMplus1c-Bold,RoundedMplus1c-ExtraBold,0.996,0.004
Han,RoundedMplus1c-ExtraBold,MPLUSRounded1c-Bold,0.996,0.004
Han,IBMPlexSansJP-Light,IBMPlexSansJP-Regular,0.9957,0.0043
Han,IBMPlexSansJP-SemiBold,MPLUS1p-Bold,0.9952,0.0048
Han,MPLUSRounded1c-Black,MPLUSRounded1c-ExtraBold,0.9951,0.0049
Han,NotoSerifKR[wght],NotoSerifJP[wght],0.9951,0.0049
Han,Kosugi-Regular,ChocolateClassicalSans-Regular,0.9951,0.0049
Han,MPLUSRounded1c-Black,RoundedMplus1c-ExtraBold,0.9951,0.0049
Han,RoundedMplus1c-Black,MPLUSRounded1c-ExtraBold,0.9951,0.0049
Han,RoundedMplus1c-Black,RoundedMplus1c-ExtraBold,0.9951,0.0049
Han,LINESeedJP-Bold,IBMPlexSansJP-Bold,0.995,0.005
Han,Kosugi-Regular,SawarabiGothic-Regular,0.995,0.005
Han,ShipporiMinchoB1-Medium,ShipporiMincho-SemiBold,0.9949,0.0051
Han,NotoSerifJP[wght],ChironSungHK[wght],0.9949,0.0051
Han,IBMPlexSansJP-SemiBold,ZenKakuGothicAntique-Bold,0.9947,0.0053
Han,ZenKakuGothicNew-Bold,IBMPlexSansJP-SemiBold,0.9947,0.0053
Han,ZenKakuGothicNew-Bold,MPLUS1p-Bold,0.9946,0.0054
Han,ZenKakuGothicAntique-Bold,MPLUS1p-Bold,0.9946,0.0054
Han,SawarabiGothic-Regular,IBMPlexSansJP-Medium,0.9946,0.0054
Han,ZenKakuGothicAntique-Medium,IBMPlexSansJP-Medium,0.9946,0.0054
Han,ZenKakuGothicAntique-Bold,IBMPlexSansJP-Bold,0.9945,0.0055
Han,ZenKakuGothicAntique-Medium,Kosugi-Regular,0.9945,0.0055
Han,ZenKakuGothicNew-Bold,IBMPlexSansJP-Bold,0.9945,0.0055
Han,BIZUDPGothic-Regular,ChocolateClassicalSans-Regular,0.9944,0.0056
Han,LINESeedJP-Bold,ZenKakuGothicNew-Bold,0.9943,0.0057
Han,LINESeedJP-Bold,ZenKakuGothicAntique-Bold,0.9943,0.0057
Han,IBMPlexSansJP-Bold,IBMPlexSansJP-Medium,0.9943,0.0057
Han,LINESeedJP-Regular,SawarabiGothic-Regular,0.9943,0.0057
Han,ZenKakuGothicAntique-Bold,IBMPlexSansJP-Medium,0.9942,0.0058
Han,ZenKakuGothicNew-Bold,IBMPlexSansJP-Medium,0.9942,0.0058
Han,MPLUS1p-Regular,ChocolateClassicalSans-Regular,0.9942,0.0058
Han,Kosugi-Regular,MPLUS1Code[wght],0.9942,0.0058
Han,ZenKakuGothicNew-Bold,ZenKakuGothicAntique-Medium,0.9941,0.0059
Han,ZenKakuGothicAntique-Medium,SawarabiGothic-Regular,0.9941,0.0059
Han,MPLUS1p-Black,LINESeedJP-ExtraBold,0.9941,0.0059
Han,KoPubBatang-Regular,KoPubBatang-Light,0.9941,0.0059
Han,Kosugi-Regular,IBMPlexSansJP-Medium,0.9941,0.0059
Han,ZenKakuGothicAntique-Bold,ZenKakuGothicAntique-Medium,0.9941,0.0059
Han,KaiseiTokumin-Bold,KaiseiTokumin-ExtraBold,0.9941,0.0059
Han,ChocolateClassicalSans-Regular,MPLUS1Code[wght],0.994,0.006
Han,LXGWWenKaiMonoTC-Light,LXGWWenKaiTC-Regular,0.994,0.006
Han,BIZUDGothic-Bold,MPLUS1p-Bold,0.994,0.006
Han,LXGWWenKaiTC-Light,LXGWWenKaiTC-Regular,0.994,0.006
Han,BIZUDPGothic-Bold,MPLUS1p-Bold,0.994,0.006
Han,LXGWWenKaiMonoTC-Regular,LXGWWenKaiTC-Light,0.994,0.006
