font_name,script
MochiyPopOne-Regular,Katakana
BpmfIansui-Regular,Katakana
DotumChe-Regular,Katakana
ShipporiMinchoB1-SemiBold,Katakana
NotoSerifKR[wght],Katakana
Murecho[wght],Katakana
KaiseiOpti-Regular,Katakana
WDXLLubrifontSC-Regular,Katakana
YujiMai-Regular,Katakana
HachiMaruPop-Regular,Katakana
KaiseiHarunoUmi-Regular,Katakana
ZenKakuGothicAntique-Medium,Katakana
TsukimiRounded-Medium,Katakana
KleeOne-Regular,Katakana
ZenKakuGothicNew-Light,Katakana
ZenAntique-Regular,Katakana
IBMPlexSansJP-SemiBold,Katakana
ShipporiMincho-Regular,Katakana
KoPubBatang-Light,Katakana
KaiseiOpti-Medium,Katakana
NotoSansSC[wght],Katakana
BpmfZihiKaiStd-Regular,Katakana
ShipporiAntiqueB1-Regular,Katakana
LXGWWenKaiTC-Light,Katakana
KaiseiHarunoUmi-Medium,Katakana
JejuMyeongjo-Regular,Katakana
LINESeedJP-Bold,Katakana
KaiseiOpti-Bold,Katakana
NotoSansTC[wght],Katakana
PaletteMosaic-Regular,Katakana
BIZUDMincho-Regular,Katakana
CherryBombOne-Regular,Katakana
IBMPlexSansJP-Regular,Katakana
KiwiMaru-Light,Katakana
ShipporiMincho-ExtraBold,Katakana
MPLUS1p-Medium,Katakana
ReggaeOne-Regular,Katakana
RocknRollOne-Regular,Katakana
TsukimiRounded-Light,Katakana
KiwiMaru-Medium,Katakana
KleeOne-SemiBold,Katakana
ZenOldMincho-Medium,Katakana
GothicA1-Regular,Katakana
ChocolateClassicalSans-Regular,Katakana
NotoSansJP[wght],Katakana
ZenOldMincho-Black,Katakana
Dotum-Regular,Katakana
ChironGoRoundTC[wght],Katakana
RoundedMplus1c-Regular,Katakana
LINESeedJP-Regular,Katakana
MPLUSRounded1c-Thin,Katakana
YujiBoku-Regular,Katakana
BatangChe-Regular,Katakana
NotoSerifHK[wght],Katakana
NanumGothicCoding-Regular,Katakana
KaiseiTokumin-Regular,Katakana
RoundedMplus1c-ExtraBold,Katakana
MPLUS1[wght],Katakana
Yomogi-Regular,Katakana
MochiyPopPOne-Regular,Katakana
WDXLLubrifontJPN-Regular,Katakana
MonomaniacOne-Regular,Katakana
GamjaFlower-Regular,Katakana
BIZUDPMincho-Bold,Katakana
GothicA1-ExtraLight,Katakana
NicoMoji-Regular,Katakana
GulimChe-Regular,Katakana
ZenKurenaido-Regular,Katakana
LXGWWenKaiMonoTC-Light,Katakana
Rock3D-Regular,Katakana
IBMPlexSansJP-Bold,Katakana
NotoSerifJP[wght],Katakana
TrainOne-Regular,Katakana
Gulim-Regular,Katakana
NewTegomin-Regular,Katakana
MPLUSRounded1c-Regular,Katakana
DarumadropOne-Regular,Katakana
RoundedMplus1c-Bold,Katakana
MPLUS1p-Black,Katakana
MPLUSRounded1c-Light,Katakana
KiwiMaru-Regular,Katakana
Hannari-Regular,Katakana
ZenKakuGothicNew-Medium,Katakana
ZenMaruGothic-Bold,Katakana
LINESeedJP-ExtraBold,Katakana
Stick-Regular,Katakana
GothicA1-Light,Katakana
ZenMaruGothic-Black,Katakana
KaiseiDecol-Bold,Katakana
ChironSungHK-Italic[wght],Katakana
RoundedMplus1c-Light,Katakana
MPLUS1p-Bold,Katakana
GothicA1-Bold,Katakana
BIZUDPGothic-Regular,Katakana
ZenMaruGothic-Regular,Katakana
Shizuru-Regular,Katakana
BIZUDGothic-Bold,Katakana
DelaGothicOne-Regular,Katakana
Nikukyu-Regular,Katakana
