script,font_1,font_2,cosine_similarity,cosine_distance
Katakana,NotoSansSC[wght],NotoSansTC[wght],1.0,0.0
Katakana,NotoSerifKR[wght],NotoSerifHK[wght],1.0,0.0
Katakana,NotoSansSC[wght],NotoSansJP[wght],1.0,0.0
Katakana,MPLUSRounded1c-Light,RoundedMplus1c-Light,1.0,0.0
Katakana,NotoSansTC[wght],NotoSansJP[wght],1.0,0.0
Katakana,RoundedMplus1c-Regular,MPLUSRounded1c-Regular,1.0,0.0
Katakana,WDXLLubrifontSC-Regular,WDXLLubrifontJPN-Regular,1.0,0.0
Katakana,NotoSerifHK[wght],NotoSerifJP[wght],1.0,0.0
Katakana,LXGWWenKaiTC-Light,LXGWWenKaiMonoTC-Light,1.0,0.0
Katakana,NotoSerifKR[wght],NotoSerifJP[wght],1.0,0.0
Katakana,DotumChe-Regular,Dotum-Regular,1.0,-0.0
Katakana,GulimChe-Regular,Gulim-Regular,1.0,-0.0
Katakana,MochiyPopOne-Regular,MochiyPopPOne-Regular,0.997,0.003
Katakana,KaiseiHarunoUmi-Regular,KaiseiHarunoUmi-Medium,0.9964,0.0036
Katakana,KleeOne-Regular,LXGWWenKaiMonoTC-Light,0.9963,0.0037
Katakana,KleeOne-Regular,LXGWWenKaiTC-Light,0.9963,0.0037
Katakana,KaiseiOpti-Regular,KaiseiOpti-Medium,0.9948,0.0052
Katakana,IBMPlexSansJP-SemiBold,IBMPlexSansJP-Bold,0.9944,0.0056
Katakana,KiwiMaru-Medium,KiwiMaru-Regular,0.9942,0.0058
Katakana,NotoSansJP[wght],ChironGoRoundTC[wght],0.9941,0.0059
Katakana,NotoSansSC[wght],ChironGoRoundTC[wght],0.9941,0.0059
Katakana,NotoSansTC[wght],ChironGoRoundTC[wght],0.9941,0.0059
Katakana,ZenAntique-Regular,ZenOldMincho-Black,0.9918,0.0082
Katakana,MPLUS1p-Medium,MPLUS1p-Bold,0.9909,0.0091
Katakana,KiwiMaru-Light,KiwiMaru-Regular,0.9902,0.0098
Katakana,ShipporiMinchoB1-SemiBold,ShipporiMincho-ExtraBold,0.9894,0.0106
Katakana,RoundedMplus1c-ExtraBold,RoundedMplus1c-Bold,0.9894,0.0106
Katakana,Murecho[wght],MPLUSRounded1c-Thin,0.9892,0.0108
Katakana,GothicA1-Regular,GothicA1-Light,0.9883,0.0117
Katakana,KaiseiOpti-Medium,KaiseiOpti-Bold,0.9878,0.0122
Katakana,BIZUDPGothic-Regular,BIZUDGothic-Bold,0.987,0.013
Katakana,ShipporiMinchoB1-SemiBold,ShipporiMincho-Regular,0.9867,0.0133
Katakana,RoundedMplus1c-Regular,RoundedMplus1c-Light,0.9861,0.0139
Katakana,MPLUSRounded1c-Regular,RoundedMplus1c-Light,0.9861,0.0139
Katakana,MPLUSRounded1c-Regular,MPLUSRounded1c-Light,0.9861,0.0139
Katakana,RoundedMplus1c-Regular,MPLUSRounded1c-Light,0.9861,0.0139
Katakana,KleeOne-Regular,KleeOne-SemiBold,0.9856,0.0144
Katakana,GothicA1-ExtraLight,GothicA1-Light,0.9854,0.0146
Katakana,KaiseiOpti-Regular,KaiseiOpti-Bold,0.9853,0.0147
Katakana,LINESeedJP-Bold,IBMPlexSansJP-Bold,0.9851,0.0149
Katakana,KiwiMaru-Light,KiwiMaru-Medium,0.9846,0.0154
Katakana,KleeOne-SemiBold,LXGWWenKaiMonoTC-Light,0.9843,0.0157
Katakana,LXGWWenKaiTC-Light,KleeOne-SemiBold,0.9843,0.0157
Katakana,LINESeedJP-Bold,LINESeedJP-ExtraBold,0.9843,0.0157
Katakana,IBMPlexSansJP-SemiBold,LINESeedJP-Bold,0.9836,0.0164
Katakana,MPLUS1p-Black,MPLUS1p-Bold,0.9824,0.0176
Katakana,ZenOldMincho-Medium,ZenOldMincho-Black,0.9823,0.0177
Katakana,IBMPlexSansJP-SemiBold,BIZUDGothic-Bold,0.9821,0.0179
Katakana,ZenAntique-Regular,ShipporiAntiqueB1-Regular,0.982,0.018
Katakana,IBMPlexSansJP-Regular,ChocolateClassicalSans-Regular,0.9817,0.0183
Katakana,IBMPlexSansJP-Regular,BIZUDPGothic-Regular,0.9815,0.0185
Katakana,ChocolateClassicalSans-Regular,BIZUDPGothic-Regular,0.9814,0.0186
Katakana,ZenAntique-Regular,ZenOldMincho-Medium,0.9804,0.0196
Katakana,RoundedMplus1c-ExtraBold,MPLUS1p-Bold,0.9803,0.0197
Katakana,IBMPlexSansJP-Bold,MPLUS1p-Bold,0.9801,0.0199
Katakana,MPLUS1p-Black,LINESeedJP-ExtraBold,0.98,0.02
