font_name,script
"AnekTamil[wdth,wght]",Tamil
Arima[wght],Tamil
BalooThambi2[wght],Tamil
Catamaran[wght],Tamil
Coiny-Regular,Tamil
HindMadurai-Bold,Tamil
HindMadurai-Light,Tamil
HindMadurai-Medium,Tamil
HindMadurai-Regular,Tamil
HindMadurai-SemiBold,Tamil
KarlaTamilInclined-Bold,Tamil
KarlaTamilInclined-Regular,Tamil
KarlaTamilUpright-Bold,Tamil
KarlaTamilUpright-Regular,Tamil
Kavivanar-Regular,Tamil
Lohit-Tamil,Tamil
MeeraInimai-Regular,Tamil
MuktaMalar-Bold,Tamil
MuktaMalar-ExtraBold,Tamil
MuktaMalar-ExtraLight,Tamil
MuktaMalar-Light,Tamil
MuktaMalar-Medium,Tamil
MuktaMalar-Regular,Tamil
MuktaMalar-SemiBold,Tamil
"NotoSansTamil[wdth,wght]",Tamil
"NotoSansTamilUI[wdth,wght]",Tamil
"NotoSerifTamil-Italic[wdth,wght]",Tamil
"NotoSerifTamil[wdth,wght]",Tamil
Oi-Regular,Tamil
Pavanam-Regular,Tamil
TiroTamil-Italic,Tamil
TiroTamil-Regular,Tamil
