script,font_1,font_2,cosine_similarity,cosine_distance
Tamil,"NotoSansTamil[wdth,wght]","NotoSansTamilUI[wdth,wght]",0.9976,0.0024
Tamil,MuktaMalar-Bold,MuktaMalar-ExtraBold,0.9971,0.0029
Tamil,HindMadurai-Bold,HindMadurai-SemiBold,0.9947,0.0053
Tamil,MuktaMalar-Light,MuktaMalar-Regular,0.9942,0.0058
Tamil,MuktaMalar-Bold,MuktaMalar-SemiBold,0.994,0.006
Tamil,HindMadurai-Medium,HindMadurai-SemiBold,0.9939,0.0061
Tamil,MuktaMalar-ExtraLight,MuktaMalar-Light,0.9939,0.0061
Tamil,MuktaMalar-Medium,MuktaMalar-SemiBold,0.9916,0.0084
Tamil,"NotoSerifTamil[wdth,wght]",TiroTamil-Regular,0.9914,0.0086
Tamil,HindMadurai-Light,HindMadurai-Regular,0.9909,0.0091
Tamil,HindMadurai-Medium,HindMadurai-Regular,0.9908,0.0092
Tamil,MuktaMalar-Medium,MuktaMalar-Regular,0.9907,0.0093
Tamil,MuktaMalar-ExtraBold,MuktaMalar-SemiBold,0.99,0.01
Tamil,KarlaTamilUpright-Bold,KarlaTamilUpright-Regular,0.9883,0.0117
Tamil,MuktaMalar-Light,Pavanam-Regular,0.9882,0.0118
Tamil,MuktaMalar-ExtraLight,Pavanam-Regular,0.9871,0.0129
Tamil,"NotoSerifTamil-Italic[wdth,wght]",TiroTamil-Italic,0.9868,0.0132
Tamil,KarlaTamilInclined-Bold,KarlaTamilInclined-Regular,0.986,0.014
Tamil,HindMadurai-Bold,HindMadurai-Medium,0.9849,0.0151
Tamil,"NotoSansTamilUI[wdth,wght]","NotoSerifTamil[wdth,wght]",0.9846,0.0154
Tamil,"NotoSansTamilUI[wdth,wght]",TiroTamil-Regular,0.9844,0.0156
Tamil,"NotoSansTamil[wdth,wght]","NotoSerifTamil[wdth,wght]",0.984,0.016
Tamil,MuktaMalar-ExtraLight,MuktaMalar-Regular,0.9838,0.0162
Tamil,"NotoSansTamil[wdth,wght]",TiroTamil-Regular,0.9832,0.0168
