font_name,script
AkayaTelivigala-Regular,Telugu
"AnekTelugu[wdth,wght]",Telugu
BalooTammudu2[wght],Telugu
Chathura-Bold,Telugu
Chathura-ExtraBold,Telugu
Chathura-Light,Telugu
Chathura-Regular,Telugu
Chathura-Thin,Telugu
Dhurjati-Regular,Telugu
Gidugu-Regular,Telugu
Gurajada-Regular,Telugu
HindGuntur-Bold,Telugu
HindGuntur-Light,Telugu
HindGuntur-Medium,Telugu
HindGuntur-Regular,Telugu
HindGuntur-SemiBold,Telugu
LakkiReddy-Regular,Telugu
Mallanna-Regular,Telugu
Mandali-Regular,Telugu
NATS-Regular,Telugu
"NotoSansTelugu[wdth,wght]",Telugu
"NotoSansTeluguUI[wdth,wght]",Telugu
NotoSerifTelugu[wght],Telugu
NTR-Regular,Telugu
Peddana-Regular,Telugu
Ponnala-Regular,Telugu
Ramabhadra-Regular,Telugu
Ramaraja-Regular,Telugu
RaviPrakash-Regular,Telugu
Sirivennela-Regular,Telugu
SreeKrushnadevaraya-Regular,Telugu
Suranna-Regular,Telugu
Suravaram-Regular,Telugu
TenaliRamakrishna-Regular,Telugu
Timmana-Regular,Telugu
TiroTelugu-Italic,Telugu
TiroTelugu-Regular,Telugu
