script,font_1,font_2,cosine_similarity,cosine_distance
Telugu,Chathura-Light,Chathura-Regular,0.9981,0.0019
Telugu,Chathura-Bold,Chathura-ExtraBold,0.9957,0.0043
Telugu,"NotoSansTelugu[wdth,wght]","NotoSansTeluguUI[wdth,wght]",0.9954,0.0046
Telugu,HindGuntur-Medium,HindGuntur-SemiBold,0.9937,0.0063
Telugu,Chathura-Bold,Chathura-Regular,0.9931,0.0069
Telugu,HindGuntur-Bold,HindGuntur-SemiBold,0.9921,0.0079
Telugu,Chathura-Light,Chathura-Thin,0.9913,0.0087
Telugu,Chathura-Bold,Chathura-Light,0.9911,0.0089
Telugu,Chathura-ExtraBold,Chathura-Regular,0.9907,0.0093
Telugu,Chathura-Regular,Chathura-Thin,0.9901,0.0099
Telugu,HindGuntur-Medium,HindGuntur-Regular,0.9894,0.0106
Telugu,Chathura-Bold,Chathura-Thin,0.9871,0.0129
Telugu,Peddana-Regular,Ramaraja-Regular,0.9869,0.0131
Telugu,HindGuntur-Light,HindGuntur-Regular,0.9856,0.0144
Telugu,Chathura-ExtraBold,Chathura-Light,0.9855,0.0145
Telugu,HindGuntur-Bold,HindGuntur-Medium,0.9838,0.0162
Telugu,Chathura-ExtraBold,Chathura-Thin,0.9824,0.0176
Telugu,HindGuntur-Regular,HindGuntur-SemiBold,0.9788,0.0212
Telugu,"AnekTelugu[wdth,wght]",HindGuntur-Medium,0.9754,0.0246
Telugu,NotoSerifTelugu[wght],TiroTelugu-Regular,0.9738,0.0262
Telugu,"AnekTelugu[wdth,wght]",HindGuntur-Regular,0.9719,0.0281
Telugu,"NotoSansTeluguUI[wdth,wght]",TiroTelugu-Regular,0.9715,0.0285
Telugu,HindGuntur-Light,HindGuntur-Medium,0.9709,0.0291
Telugu,HindGuntur-Medium,"NotoSansTeluguUI[wdth,wght]",0.9701,0.0299
Telugu,HindGuntur-Medium,"NotoSansTelugu[wdth,wght]",0.9696,0.0304
Telugu,"AnekTelugu[wdth,wght]",HindGuntur-SemiBold,0.9687,0.0313
Telugu,BalooTammudu2[wght],HindGuntur-Medium,0.9687,0.0313
Telugu,"NotoSansTelugu[wdth,wght]",TiroTelugu-Regular,0.9687,0.0313
Telugu,HindGuntur-Medium,TiroTelugu-Regular,0.9677,0.0323
Telugu,HindGuntur-Light,TiroTelugu-Regular,0.9668,0.0332
Telugu,BalooTammudu2[wght],HindGuntur-SemiBold,0.9667,0.0333
Telugu,HindGuntur-Regular,TiroTelugu-Regular,0.966,0.034
Telugu,HindGuntur-SemiBold,"NotoSansTeluguUI[wdth,wght]",0.9651,0.0349
Telugu,Mandali-Regular,Peddana-Regular,0.9646,0.0354
Telugu,HindGuntur-Bold,HindGuntur-Regular,0.9638,0.0362
Telugu,HindGuntur-SemiBold,"NotoSansTelugu[wdth,wght]",0.9633,0.0367
Telugu,Gidugu-Regular,Ramabhadra-Regular,0.9631,0.0369
Telugu,Mallanna-Regular,Ramabhadra-Regular,0.9625,0.0375
Telugu,Ramaraja-Regular,TenaliRamakrishna-Regular,0.9617,0.0383
Telugu,BalooTammudu2[wght],HindGuntur-Regular,0.9613,0.0387
Telugu,HindGuntur-Regular,"NotoSansTelugu[wdth,wght]",0.961,0.039
Telugu,HindGuntur-Regular,"NotoSansTeluguUI[wdth,wght]",0.9607,0.0393
Telugu,NATS-Regular,Ramabhadra-Regular,0.9602,0.0398
Telugu,HindGuntur-SemiBold,TiroTelugu-Regular,0.9601,0.0399
Telugu,Peddana-Regular,TenaliRamakrishna-Regular,0.9598,0.0402
Telugu,"NotoSansTelugu[wdth,wght]",NotoSerifTelugu[wght],0.9591,0.0409
Telugu,"AnekTelugu[wdth,wght]",HindGuntur-Bold,0.9588,0.0412
Telugu,"AnekTelugu[wdth,wght]",TiroTelugu-Regular,0.9584,0.0416
Telugu,Suranna-Regular,TenaliRamakrishna-Regular,0.9582,0.0418
Telugu,"NotoSansTeluguUI[wdth,wght]",NotoSerifTelugu[wght],0.9578,0.0422
Telugu,HindGuntur-Light,HindGuntur-SemiBold,0.9573,0.0427
Telugu,"AnekTelugu[wdth,wght]","NotoSansTeluguUI[wdth,wght]",0.9573,0.0427
Telugu,"AnekTelugu[wdth,wght]",HindGuntur-Light,0.957,0.043
Telugu,SreeKrushnadevaraya-Regular,TenaliRamakrishna-Regular,0.9569,0.0431
Telugu,BalooTammudu2[wght],TiroTelugu-Regular,0.9566,0.0434
Telugu,HindGuntur-Bold,"NotoSansTeluguUI[wdth,wght]",0.9558,0.0442
Telugu,"AnekTelugu[wdth,wght]","NotoSansTelugu[wdth,wght]",0.9558,0.0442
Telugu,Mallanna-Regular,Suranna-Regular,0.9556,0.0444
Telugu,SreeKrushnadevaraya-Regular,Suranna-Regular,0.9555,0.0445
Telugu,BalooTammudu2[wght],HindGuntur-Bold,0.9554,0.0446
Telugu,TiroTelugu-Italic,TiroTelugu-Regular,0.9554,0.0446
Telugu,Peddana-Regular,Suranna-Regular,0.955,0.045
Telugu,BalooTammudu2[wght],"NotoSansTeluguUI[wdth,wght]",0.9549,0.0451
Telugu,Ramaraja-Regular,Suranna-Regular,0.9541,0.0459
Telugu,HindGuntur-Bold,"NotoSansTelugu[wdth,wght]",0.9538,0.0462
Telugu,HindGuntur-Regular,NotoSerifTelugu[wght],0.9538,0.0462
Telugu,BalooTammudu2[wght],"NotoSansTelugu[wdth,wght]",0.9522,0.0478
Telugu,HindGuntur-Light,NotoSerifTelugu[wght],0.9521,0.0479
Telugu,Gidugu-Regular,Mallanna-Regular,0.9519,0.0481
Telugu,"AnekTelugu[wdth,wght]",BalooTammudu2[wght],0.9516,0.0484
Telugu,HindGuntur-Light,"NotoSansTeluguUI[wdth,wght]",0.9506,0.0494
Telugu,Gidugu-Regular,NATS-Regular,0.9506,0.0494
Telugu,Mandali-Regular,Ramaraja-Regular,0.9505,0.0495
Telugu,Mandali-Regular,TenaliRamakrishna-Regular,0.95,0.05
Telugu,HindGuntur-Medium,NotoSerifTelugu[wght],0.9489,0.0511
Telugu,"NotoSansTeluguUI[wdth,wght]",TiroTelugu-Italic,0.9484,0.0516
Telugu,HindGuntur-Bold,TiroTelugu-Regular,0.9466,0.0534
Telugu,BalooTammudu2[wght],NotoSerifTelugu[wght],0.9466,0.0534
Telugu,HindGuntur-Light,"NotoSansTelugu[wdth,wght]",0.946,0.054
Telugu,Ramaraja-Regular,SreeKrushnadevaraya-Regular,0.9454,0.0546
Telugu,BalooTammudu2[wght],HindGuntur-Light,0.9453,0.0547
Telugu,Peddana-Regular,SreeKrushnadevaraya-Regular,0.945,0.055
Telugu,Ponnala-Regular,Timmana-Regular,0.9446,0.0554
Telugu,"AnekTelugu[wdth,wght]",NotoSerifTelugu[wght],0.9437,0.0563
Telugu,"NotoSansTelugu[wdth,wght]",TiroTelugu-Italic,0.9435,0.0565
Telugu,SreeKrushnadevaraya-Regular,Timmana-Regular,0.9427,0.0573
Telugu,HindGuntur-SemiBold,NotoSerifTelugu[wght],0.9408,0.0592
Telugu,Mallanna-Regular,NATS-Regular,0.94,0.06
Telugu,HindGuntur-Bold,HindGuntur-Light,0.9398,0.0602
Telugu,Gurajada-Regular,Suravaram-Regular,0.9355,0.0645
Telugu,Gidugu-Regular,Gurajada-Regular,0.9348,0.0652
Telugu,AkayaTelivigala-Regular,NTR-Regular,0.9339,0.0661
