font_name1,font_name2,similarity
TiroDevanagariMarathi-Italic,Yantramanav-Regular,0.9574599266052246
TiroDevanagariMarathi-Italic,Palanquin-Regular,0.965491771697998
TiroDevanagariMarathi-Italic,Sarala-Bold,0.9418693780899048
TiroDevanagariMarathi-Italic,Baloo2[wght],0.9536963105201721
TiroDevanagariMarathi-Italic,Modak-Regular,0.7128854393959045
TiroDevanagariMarathi-Italic,Sarpanch-Medium,0.8408042788505554
TiroDevanagariMarathi-Italic,Kalam-Regular,0.9443361163139343
TiroDevanagariMarathi-Italic,VesperLibre-Bold,0.9558892250061035
TiroDevanagariMarathi-Italic,Palanquin-SemiBold,0.9525882005691528
TiroDevanagariMarathi-Italic,Poppins-Regular,0.9111384153366089
TiroDevanagariMarathi-Italic,EkMukta-Bold,0.9348576664924622
TiroDevanagariMarathi-Italic,Sumana-Regular,0.9783711433410645
TiroDevanagariMarathi-Italic,AnnapurnaSIL-Bold,0.9609084129333496
TiroDevanagariMarathi-Italic,Jaldi-Bold,0.945030152797699
TiroDevanagariMarathi-Italic,Sahitya-Regular,0.9803699851036072
TiroDevanagariMarathi-Italic,Ranga-Regular,0.9766683578491211
TiroDevanagariMarathi-Italic,Biryani-Bold,0.9310681819915771
TiroDevanagariMarathi-Italic,Poppins-Italic,0.9437233209609985
TiroDevanagariMarathi-Italic,JainiPurva-Regular,0.9390131831169128
TiroDevanagariMarathi-Italic,Sitara-BoldItalic,0.9660993218421936
TiroDevanagariMarathi-Italic,PalanquinDark-Medium,0.9229291677474976
TiroDevanagariMarathi-Italic,Khand-Bold,0.8653103709220886
TiroDevanagariMarathi-Italic,Cambay-BoldItalic,0.9761427044868469
TiroDevanagariMarathi-Italic,MartelSans-Bold,0.9629099369049072
TiroDevanagariMarathi-Italic,Poppins-Black,0.8556625247001648
TiroDevanagariMarathi-Italic,Poppins-SemiBoldItalic,0.9296653866767883
TiroDevanagariMarathi-Italic,Bhavuka-Regular,0.9120302200317383
TiroDevanagariMarathi-Italic,Halant-SemiBold,0.9604129791259766
TiroDevanagariMarathi-Italic,TiroDevanagariHindi-Italic,0.9998408555984497
TiroDevanagariMarathi-Italic,MartelSans-Regular,0.9639933109283447
TiroDevanagariMarathi-Italic,IBMPlexSansDevanagari-Regular,0.932313084602356
