font_name1,font_name2,similarity
ChironHeiHK-Italic[wght],Stick-Regular,0.7152971029281616
ChironHeiHK-Italic[wght],Gungsuh-Regular,0.8047040700912476
ChironHeiHK-Italic[wght],LINESeedJP-Bold,0.7703589797019958
ChironHeiHK-Italic[wght],BpmfZihiKaiStd-Regular,0.7141385674476624
ChironHeiHK-Italic[wght],RoundedMplus1c-Bold,0.6351009607315063
ChironHeiHK-Italic[wght],ZenOldMincho-Medium,0.7407475709915161
ChironHeiHK-Italic[wght],NotoSerifKR[wght],0.8739749193191528
ChironHeiHK-Italic[wght],TrainOne-Regular,0.8652645349502563
ChironHeiHK-Italic[wght],DelaGothicOne-Regular,0.7122880816459656
ChironHeiHK-Italic[wght],ZenKakuGothicNew-Bold,0.7895417213439941
ChironHeiHK-Italic[wght],IBMPlexSansJP-SemiBold,0.7921901941299438
ChironHeiHK-Italic[wght],RoundedMplus1c-Black,0.5979131460189819
ChironHeiHK-Italic[wght],BpmfIansui-Regular,0.7754845023155212
ChironHeiHK-Italic[wght],NotoSerifTC[wght],0.8740049004554749
ChironHeiHK-Italic[wght],OtomanopeeOne-Regular,0.7076818346977234
ChironHeiHK-Italic[wght],MochiyPopPOne-Regular,0.7493088841438293
ChironHeiHK-Italic[wght],BIZUDMincho-Regular,0.7713460922241211
ChironHeiHK-Italic[wght],PottaOne-Regular,0.5679893493652344
ChironHeiHK-Italic[wght],ChironGoRoundTC[wght],0.9736043214797974
ChironHeiHK-Italic[wght],KoPubBatang-Regular,0.6915030479431152
ChironHeiHK-Italic[wght],KiwiMaru-Medium,0.6950012445449829
ChironHeiHK-Italic[wght],ZenMaruGothic-Light,0.9074652791023254
ChironHeiHK-Italic[wght],ZenMaruGothic-Regular,0.7783381938934326
ChironHeiHK-Italic[wght],ZCOOLKuaiLe-Regular,0.6325832009315491
ChironHeiHK-Italic[wght],RocknRollOne-Regular,0.7105931043624878
ChironHeiHK-Italic[wght],KoPubBatang-Light,0.7263804078102112
ChironHeiHK-Italic[wght],MPLUS1p-Regular,0.8440129160881042
ChironHeiHK-Italic[wght],KaiseiTokumin-Bold,0.741959810256958
ChironHeiHK-Italic[wght],GulimChe-Regular,0.8846615552902222
ChironHeiHK-Italic[wght],ShipporiAntique-Regular,0.7735716700553894
ChironHeiHK-Italic[wght],WDXLLubrifontTC-Regular,0.7062593102455139
ChironHeiHK-Italic[wght],GungsuhChe-Regular,0.8047040700912476
ChironHeiHK-Italic[wght],BIZUDPMincho-Bold,0.638943076133728
ChironHeiHK-Italic[wght],IBMPlexSansJP-Thin,0.9611656665802002
ChironHeiHK-Italic[wght],ZenKakuGothicAntique-Bold,0.7895417213439941
ChironHeiHK-Italic[wght],ShipporiMinchoB1-Medium,0.7213862538337708
ChironHeiHK-Italic[wght],MPLUSRounded1c-Regular,0.7271043062210083
ChironHeiHK-Italic[wght],ZenKakuGothicAntique-Medium,0.8376708030700684
ChironHeiHK-Italic[wght],IBMPlexSansJP-Light,0.9239997863769531
ChironHeiHK-Italic[wght],NotoSerifJP[wght],0.8725553750991821
ChironHeiHK-Italic[wght],MPLUS1p-Black,0.7321347594261169
ChironHeiHK-Italic[wght],LINESeedJP-ExtraBold,0.7148805856704712
ChironHeiHK-Italic[wght],WDXLLubrifontJPN-Regular,0.7060732841491699
ChironHeiHK-Italic[wght],Murecho[wght],0.9788140058517456
ChironHeiHK-Italic[wght],RoundedMplus1c-Medium,0.6614612340927124
ChironHeiHK-Italic[wght],ZenAntique-Regular,0.6525216102600098
ChironHeiHK-Italic[wght],KaiseiHarunoUmi-Regular,0.8076825737953186
ChironHeiHK-Italic[wght],LXGWWenKaiMonoTC-Regular,0.730685830116272
ChironHeiHK-Italic[wght],KaiseiTokumin-ExtraBold,0.7282916307449341
ChironHeiHK-Italic[wght],Dotum-Regular,0.8846615552902222
ChironHeiHK-Italic[wght],ZCOOLXiaoWei-Regular,0.8128283023834229
ChironHeiHK-Italic[wght],ShipporiAntiqueB1-Regular,0.7311631441116333
ChironHeiHK-Italic[wght],NotoSansKR[wght],0.9736192226409912
ChironHeiHK-Italic[wght],LXGWWenKaiTC-Light,0.7791297435760498
ChironHeiHK-Italic[wght],IBMPlexSansJP-Bold,0.7748900651931763
ChironHeiHK-Italic[wght],MPLUSRounded1c-Black,0.5979131460189819
ChironHeiHK-Italic[wght],ChironSungHK[wght],0.8777287006378174
ChironHeiHK-Italic[wght],Yomogi-Regular,0.869242787361145
ChironHeiHK-Italic[wght],MPLUSRounded1c-Medium,0.6614612340927124
ChironHeiHK-Italic[wght],LINESeedJP-Regular,0.8591764569282532
ChironHeiHK-Italic[wght],ZenMaruGothic-Black,0.6007106304168701
ChironHeiHK-Italic[wght],BIZUDPGothic-Regular,0.8375250101089478
ChironHeiHK-Italic[wght],BIZUDGothic-Bold,0.7871245741844177
ChironHeiHK-Italic[wght],DotumChe-Regular,0.8846615552902222
ChironHeiHK-Italic[wght],WDXLLubrifontSC-Regular,0.7060545086860657
ChironHeiHK-Italic[wght],Batang-Regular,0.8047040700912476
ChironHeiHK-Italic[wght],HachiMaruPop-Regular,0.7303909659385681
ChironHeiHK-Italic[wght],MPLUSRounded1c-ExtraBold,0.6208600401878357
ChironHeiHK-Italic[wght],ZenMaruGothic-Medium,0.6950173377990723
ChironHeiHK-Italic[wght],LXGWWenKaiMonoTC-Light,0.7791297435760498
ChironHeiHK-Italic[wght],BIZUDPGothic-Bold,0.7871245741844177
ChironHeiHK-Italic[wght],YujiBoku-Regular,0.5381848216056824
ChironHeiHK-Italic[wght],RoundedMplus1c-Regular,0.7271043062210083
ChironHeiHK-Italic[wght],Kosugi-Regular,0.8382425904273987
ChironHeiHK-Italic[wght],ShipporiMincho-SemiBold,0.7018264532089233
ChironHeiHK-Italic[wght],SawarabiGothic-Regular,0.8498641848564148
ChironHeiHK-Italic[wght],KoPubBatang-Bold,0.6435903310775757
ChironHeiHK-Italic[wght],MPLUSRounded1c-Light,0.863877534866333
ChironHeiHK-Italic[wght],Gulim-Regular,0.8846615552902222
ChironHeiHK-Italic[wght],IBMPlexSansJP-Regular,0.8764965534210205
ChironHeiHK-Italic[wght],SawarabiMincho-Regular,0.7302637100219727
ChironHeiHK-Italic[wght],DotGothic16-Regular,0.8216419219970703
ChironHeiHK-Italic[wght],ChocolateClassicalSans-Regular,0.8572399616241455
ChironHeiHK-Italic[wght],ShipporiMinchoB1-Regular,0.7418838143348694
ChironHeiHK-Italic[wght],MochiyPopOne-Regular,0.7493088841438293
ChironHeiHK-Italic[wght],LXGWWenKaiTC-Regular,0.730685830116272
ChironHeiHK-Italic[wght],MPLUS1Code[wght],0.8652689456939697
ChironHeiHK-Italic[wght],IBMPlexSansJP-Medium,0.8201218843460083
ChironHeiHK-Italic[wght],NewTegomin-Regular,0.6061254739761353
ChironHeiHK-Italic[wght],MPLUS1p-Bold,0.769689679145813
ChironHeiHK-Italic[wght],RoundedMplus1c-ExtraBold,0.6208600401878357
ChironHeiHK-Italic[wght],ZenOldMincho-Bold,0.6786637902259827
ChironHeiHK-Italic[wght],YujiSyuku-Regular,0.5381848216056824
ChironHeiHK-Italic[wght],KaiseiDecol-Medium,0.7889759540557861
ChironHeiHK-Italic[wght],MPLUSRounded1c-Bold,0.6351009607315063
ChironHeiHK-Italic[wght],UoqMunThenKhung-Regular,0.7428970336914062
Stick-Regular,Gungsuh-Regular,0.723258376121521
Stick-Regular,LINESeedJP-Bold,0.859798789024353
Stick-Regular,BpmfZihiKaiStd-Regular,0.7347707152366638
Stick-Regular,RoundedMplus1c-Bold,0.7996554374694824
Stick-Regular,ZenOldMincho-Medium,0.8192591667175293
Stick-Regular,NotoSerifKR[wght],0.7805660963058472
Stick-Regular,TrainOne-Regular,0.7381391525268555
Stick-Regular,DelaGothicOne-Regular,0.726664125919342
Stick-Regular,ZenKakuGothicNew-Bold,0.8740229606628418
Stick-Regular,IBMPlexSansJP-SemiBold,0.9116520881652832
Stick-Regular,RoundedMplus1c-Black,0.7438178658485413
Stick-Regular,BpmfIansui-Regular,0.8204413056373596
Stick-Regular,NotoSerifTC[wght],0.7825562953948975
Stick-Regular,OtomanopeeOne-Regular,0.8819587826728821
Stick-Regular,MochiyPopPOne-Regular,0.8430643677711487
Stick-Regular,BIZUDMincho-Regular,0.8370168805122375
