font_name1,font_name2,similarity
MochiyPopOne-Regular,BpmfIansui-Regular,0.7206921577453613
MochiyPopOne-Regular,DotumChe-Regular,0.7650521993637085
MochiyPopOne-Regular,ShipporiMinchoB1-SemiBold,0.7093002200126648
MochiyPopOne-Regular,NotoSerifKR[wght],0.6222026348114014
MochiyPopOne-Regular,Murecho[wght],0.502367377281189
MochiyPopOne-Regular,KaiseiOpti-Regular,0.7531543970108032
MochiyPopOne-Regular,WDXLLubrifontSC-Regular,0.6106324195861816
MochiyPopOne-Regular,YujiMai-Regular,0.6850040555000305
MochiyPopOne-Regular,HachiMaruPop-Regular,0.6782490611076355
MochiyPopOne-Regular,KaiseiHarunoUmi-Regular,0.7366440892219543
MochiyPopOne-Regular,ZenKakuGothicAntique-Medium,0.8484447002410889
MochiyPopOne-Regular,TsukimiRounded-Medium,0.689150333404541
MochiyPopOne-Regular,KleeOne-Regular,0.6676639318466187
MochiyPopOne-Regular,ZenKakuGothicNew-Light,0.616302490234375
MochiyPopOne-Regular,ZenAntique-Regular,0.7597246170043945
MochiyPopOne-Regular,IBMPlexSansJP-SemiBold,0.8821152448654175
MochiyPopOne-Regular,ShipporiMincho-Regular,0.6686732769012451
MochiyPopOne-Regular,KoPubBatang-Light,0.6650471687316895
MochiyPopOne-Regular,KaiseiOpti-Medium,0.7680796384811401
MochiyPopOne-Regular,NotoSansSC[wght],0.5663691759109497
MochiyPopOne-Regular,BpmfZihiKaiStd-Regular,0.6782163381576538
MochiyPopOne-Regular,ShipporiAntiqueB1-Regular,0.7296054363250732
MochiyPopOne-Regular,LXGWWenKaiTC-Light,0.6673887372016907
MochiyPopOne-Regular,KaiseiHarunoUmi-Medium,0.7418901920318604
MochiyPopOne-Regular,JejuMyeongjo-Regular,0.6638888716697693
MochiyPopOne-Regular,LINESeedJP-Bold,0.9068818688392639
MochiyPopOne-Regular,KaiseiOpti-Bold,0.7873984575271606
MochiyPopOne-Regular,NotoSansTC[wght],0.5663691759109497
MochiyPopOne-Regular,PaletteMosaic-Regular,0.7662279605865479
MochiyPopOne-Regular,BIZUDMincho-Regular,0.6787030696868896
MochiyPopOne-Regular,CherryBombOne-Regular,0.5760894417762756
MochiyPopOne-Regular,IBMPlexSansJP-Regular,0.7653504610061646
MochiyPopOne-Regular,KiwiMaru-Light,0.6887369155883789
MochiyPopOne-Regular,ShipporiMincho-ExtraBold,0.7367429733276367
MochiyPopOne-Regular,MPLUS1p-Medium,0.8293429017066956
MochiyPopOne-Regular,ReggaeOne-Regular,0.6520723700523376
MochiyPopOne-Regular,RocknRollOne-Regular,0.8931427597999573
MochiyPopOne-Regular,TsukimiRounded-Light,0.6059588193893433
MochiyPopOne-Regular,KiwiMaru-Medium,0.7161403298377991
MochiyPopOne-Regular,KleeOne-SemiBold,0.7156500816345215
MochiyPopOne-Regular,ZenOldMincho-Medium,0.7230383157730103
MochiyPopOne-Regular,GothicA1-Regular,0.7770089507102966
MochiyPopOne-Regular,ChocolateClassicalSans-Regular,0.8202822208404541
MochiyPopOne-Regular,NotoSansJP[wght],0.5663691759109497
MochiyPopOne-Regular,ZenOldMincho-Black,0.747269332408905
MochiyPopOne-Regular,Dotum-Regular,0.7650521993637085
MochiyPopOne-Regular,ChironGoRoundTC[wght],0.561208963394165
MochiyPopOne-Regular,RoundedMplus1c-Regular,0.6686418652534485
MochiyPopOne-Regular,LINESeedJP-Regular,0.7760807275772095
MochiyPopOne-Regular,MPLUSRounded1c-Thin,0.4981670379638672
MochiyPopOne-Regular,YujiBoku-Regular,0.623676061630249
MochiyPopOne-Regular,BatangChe-Regular,0.6299303770065308
MochiyPopOne-Regular,NotoSerifHK[wght],0.6222026348114014
MochiyPopOne-Regular,NanumGothicCoding-Regular,0.8284343481063843
MochiyPopOne-Regular,KaiseiTokumin-Regular,0.7206287384033203
MochiyPopOne-Regular,RoundedMplus1c-ExtraBold,0.7067378759384155
MochiyPopOne-Regular,MPLUS1[wght],0.48769503831863403
MochiyPopOne-Regular,Yomogi-Regular,0.6363872289657593
MochiyPopOne-Regular,MochiyPopPOne-Regular,0.9995876550674438
MochiyPopOne-Regular,WDXLLubrifontJPN-Regular,0.6106324195861816
MochiyPopOne-Regular,MonomaniacOne-Regular,0.6387910842895508
