font_name1,font_name2,similarity
"AnekTamil[wdth,wght]",Arima[wght],0.8870677947998047
"AnekTamil[wdth,wght]",BalooThambi2[wght],0.9869815111160278
"AnekTamil[wdth,wght]",Catamaran[wght],0.9352867007255554
"AnekTamil[wdth,wght]",Coiny-Regular,0.9209402799606323
"AnekTamil[wdth,wght]",HindMadurai-Bold,0.9737637639045715
"AnekTamil[wdth,wght]",HindMadurai-Light,0.9644314050674438
"AnekTamil[wdth,wght]",HindMadurai-Medium,0.9895013570785522
"AnekTamil[wdth,wght]",HindMadurai-Regular,0.9829530715942383
"AnekTamil[wdth,wght]",HindMadurai-SemiBold,0.9868656396865845
"AnekTamil[wdth,wght]",KarlaTamilInclined-Bold,0.981159508228302
"AnekTamil[wdth,wght]",KarlaTamilInclined-Regular,0.9804906845092773
"AnekTamil[wdth,wght]",KarlaTamilUpright-Bold,0.9852792024612427
"AnekTamil[wdth,wght]",KarlaTamilUpright-Regular,0.9792546033859253
"AnekTamil[wdth,wght]",Kavivanar-Regular,0.9659203290939331
"AnekTamil[wdth,wght]",Lohit-Tamil,0.958290159702301
"AnekTamil[wdth,wght]",MeeraInimai-Regular,0.9803785085678101
"AnekTamil[wdth,wght]",MuktaMalar-Bold,0.9767087697982788
"AnekTamil[wdth,wght]",MuktaMalar-ExtraBold,0.9709965586662292
"AnekTamil[wdth,wght]",MuktaMalar-ExtraLight,0.9272066354751587
"AnekTamil[wdth,wght]",MuktaMalar-Light,0.9582236409187317
"AnekTamil[wdth,wght]",MuktaMalar-Medium,0.9870871305465698
"AnekTamil[wdth,wght]",MuktaMalar-Regular,0.9845074415206909
"AnekTamil[wdth,wght]",MuktaMalar-SemiBold,0.983599066734314
"AnekTamil[wdth,wght]",NotoSansGrantha-Regular,0.9736009240150452
"AnekTamil[wdth,wght]","NotoSansTamil[wdth,wght]",0.9930388927459717
"AnekTamil[wdth,wght]","NotoSansTamilUI[wdth,wght]",0.9930388927459717
"AnekTamil[wdth,wght]",NotoSerifGrantha-Regular,0.9681904315948486
"AnekTamil[wdth,wght]","NotoSerifTamil-Italic[wdth,wght]",0.9671701192855835
"AnekTamil[wdth,wght]","NotoSerifTamil[wdth,wght]",0.9771562814712524
"AnekTamil[wdth,wght]",Oi-Regular,0.6907118558883667
"AnekTamil[wdth,wght]",Pavanam-Regular,0.9707552194595337
"AnekTamil[wdth,wght]",TiroTamil-Italic,0.9750339984893799
"AnekTamil[wdth,wght]",TiroTamil-Regular,0.9800719022750854
Arima[wght],BalooThambi2[wght],0.8984255790710449
Arima[wght],Catamaran[wght],0.9774953126907349
Arima[wght],Coiny-Regular,0.7778789401054382
Arima[wght],HindMadurai-Bold,0.8406011462211609
Arima[wght],HindMadurai-Light,0.9422568082809448
Arima[wght],HindMadurai-Medium,0.8928848505020142
Arima[wght],HindMadurai-Regular,0.9140527248382568
Arima[wght],HindMadurai-SemiBold,0.8678362369537354
Arima[wght],KarlaTamilInclined-Bold,0.8694608211517334
Arima[wght],KarlaTamilInclined-Regular,0.9209116697311401
Arima[wght],KarlaTamilUpright-Bold,0.8912315368652344
Arima[wght],KarlaTamilUpright-Regular,0.9369586110115051
Arima[wght],Kavivanar-Regular,0.8398084044456482
Arima[wght],Lohit-Tamil,0.9577994346618652
Arima[wght],MeeraInimai-Regular,0.9023586511611938
Arima[wght],MuktaMalar-Bold,0.8651139140129089
Arima[wght],MuktaMalar-ExtraBold,0.8498961329460144
Arima[wght],MuktaMalar-ExtraLight,0.9795215129852295
Arima[wght],MuktaMalar-Light,0.9588634967803955
Arima[wght],MuktaMalar-Medium,0.8951882123947144
Arima[wght],MuktaMalar-Regular,0.922187089920044
Arima[wght],MuktaMalar-SemiBold,0.8816428184509277
Arima[wght],NotoSansGrantha-Regular,0.8803163766860962
Arima[wght],"NotoSansTamil[wdth,wght]",0.9042236804962158
Arima[wght],"NotoSansTamilUI[wdth,wght]",0.9042236804962158
Arima[wght],NotoSerifGrantha-Regular,0.9124848246574402
Arima[wght],"NotoSerifTamil-Italic[wdth,wght]",0.9005477428436279
Arima[wght],"NotoSerifTamil[wdth,wght]",0.9262717366218567
Arima[wght],Oi-Regular,0.617200493812561
Arima[wght],Pavanam-Regular,0.9484190940856934
Arima[wght],TiroTamil-Italic,0.9155663847923279
Arima[wght],TiroTamil-Regular,0.9348964095115662
BalooThambi2[wght],Catamaran[wght],0.9537999629974365
BalooThambi2[wght],Coiny-Regular,0.9057190418243408
BalooThambi2[wght],HindMadurai-Bold,0.9633630514144897
BalooThambi2[wght],HindMadurai-Light,0.9804377555847168
BalooThambi2[wght],HindMadurai-Medium,0.9922822713851929
BalooThambi2[wght],HindMadurai-Regular,0.9936487674713135
BalooThambi2[wght],HindMadurai-SemiBold,0.9817534685134888
BalooThambi2[wght],KarlaTamilInclined-Bold,0.9739001393318176
BalooThambi2[wght],KarlaTamilInclined-Regular,0.986891508102417
BalooThambi2[wght],KarlaTamilUpright-Bold,0.9821637868881226
BalooThambi2[wght],KarlaTamilUpright-Regular,0.9881842136383057
BalooThambi2[wght],Kavivanar-Regular,0.9683042764663696
BalooThambi2[wght],Lohit-Tamil,0.9734156131744385
BalooThambi2[wght],MeeraInimai-Regular,0.98164963722229
