font_file,font_family,script,codepoint_coverage,total_glyphs,expansion_ratio,vertical_footprint,friction_score,friction_contextual_joining,friction_indic_shaping,friction_ligature_heavy,friction_mark_positioning,friction_rtl_layout
"Playfair[opsz,wdth,wght].ttf",Playfair 5pt SemiExpanded Light,Cyrillic,124,1307,1.8709677419354838,1.2,4,True,False,True,True,True
"Wonky[wdth,wght].ttf",Wonky,Cyrillic,275,1150,1.8945454545454545,1.36181640625,3,False,False,True,True,True
OpenSansCondensed-Italic[wght].ttf,Open Sans Condensed,Cyrillic,304,3431,1.888157894736842,1.36181640625,3,False,False,True,True,True
OpenSansCondensed[wght].ttf,Open Sans Condensed,Cyrillic,304,3423,1.888157894736842,1.36181640625,3,False,False,True,True,True
"RobotoFlex[GRAD,XOPQ,XTRA,YOPQ,YTAS,YTDE,YTFI,YTLC,YTUC,opsz,slnt,wdth,wght].ttf",Roboto Flex,Cyrillic,152,947,1.144736842105263,1.171875,3,False,False,True,True,True
"OpenSans[wdth,wght].ttf",Open Sans,Cyrillic,275,1150,1.8945454545454545,1.36181640625,3,False,False,True,True,True
"OpenSans-Italic[wdth,wght].ttf",Open Sans,Cyrillic,275,1162,1.8945454545454545,1.36181640625,3,False,False,True,True,True
WDXLLubrifontJPN-Regular.ttf,WDXL 滑油字 JP N,Cyrillic,66,15985,11.636363636363637,1.18,2,False,False,True,True,False
WDXLLubrifontJPN-Regular.ttf,WDXL 滑油字 JP N,Katakana,90,15985,12.266666666666667,1.18,2,False,False,True,True,False
WDXLLubrifontJPN-Regular.ttf,WDXL 滑油字 JP N,Han,12148,15985,12.698715837998025,1.18,2,False,False,True,True,False
Shizuru-Regular.ttf,Shizuru,Katakana,93,411,1.0,1.0,0,False,False,False,False,False
ZenKakuGothicAntique-Light.ttf,Zen Kaku Gothic Antique Light,Cyrillic,66,7792,1.1363636363636365,1.0,1,False,False,False,True,False
ZenKakuGothicAntique-Light.ttf,Zen Kaku Gothic Antique Light,Katakana,94,7792,1.148936170212766,1.0,1,False,False,False,True,False
ZenKakuGothicAntique-Light.ttf,Zen Kaku Gothic Antique Light,Han,6716,7792,1.1499404407385347,1.0,1,False,False,False,True,False
ZenKakuGothicAntique-Bold.ttf,Zen Kaku Gothic Antique,Cyrillic,66,7792,1.1363636363636365,1.0,1,False,False,False,True,False
