font,subsets
Advent Pro,['cyrillic']
Akaya Telivigala,['telugu']
Akshar,['devanagari']
Alegreya,['cyrillic']
Alegreya SC,['cyrillic']
Alegreya Sans,['cyrillic']
Alegreya Sans SC,['cyrillic']
Alexandria,['arabic']
Alice,['cyrillic']
Alkalami,['arabic']
Alkatra,"['bengali', 'devanagari']"
Almarai,['arabic']
Alumni Sans,['cyrillic']
Alumni Sans Collegiate One,['cyrillic']
Alumni Sans Pinstripe,['cyrillic']
Alumni Sans SC,['cyrillic']
Alyamama,['arabic']
Amatic SC,['cyrillic']
Amiko,['devanagari']
Amiri,['arabic']
Amiri Quran,['arabic']
Amita,['devanagari']
Andika,['cyrillic']
Anek Bangla,['bengali']
Anek Devanagari,['devanagari']
Anek Tamil,['tamil']
Anek Telugu,['telugu']
Annapurna SIL,['devanagari']
Anonymous Pro,['cyrillic']
Aoboshi One,['japanese']
Aref Ruqaa,['arabic']
Aref Ruqaa Ink,['arabic']
Arima,['tamil']
Arimo,['cyrillic']
Arsenal,['cyrillic']
Arsenal SC,['cyrillic']
Arya,['devanagari']
Asar,['devanagari']
Atma,['bengali']
BIZ UDGothic,"['cyrillic', 'japanese']"
BIZ UDMincho,"['cyrillic', 'japanese']"
BIZ UDPGothic,"['cyrillic', 'japanese']"
BIZ UDPMincho,"['cyrillic', 'japanese']"
Bad Script,['cyrillic']
Badeen Display,['arabic']
Bakbak One,['devanagari']
Baloo 2,['devanagari']
Baloo Bhaijaan 2,['arabic']
Baloo Da 2,['bengali']
Baloo Tammudu 2,['telugu']
Baloo Thambi 2,['tamil']
Balsamiq Sans,['cyrillic']
Beiruti,['arabic']
Bellota,['cyrillic']
Bellota Text,['cyrillic']
Biryani,['devanagari']
Bitter,['cyrillic']
Blaka,['arabic']
Blaka Hollow,['arabic']
Blaka Ink,['arabic']
Bona Nova,['cyrillic']
Bona Nova SC,['cyrillic']
Bpmf Huninn,['chinese-traditional']
Bpmf Iansui,['chinese-traditional']
Bpmf Zihi Kai Std,['chinese-traditional']
Brygada 1918,['cyrillic']
Cactus Classical Serif,"['chinese-traditional', 'cyrillic']"
Cairo,['arabic']
Cairo Play,['arabic']
Cambay,['devanagari']
Carlito,['cyrillic']
Cascadia Code,"['arabic', 'cyrillic']"
Cascadia Mono,"['arabic', 'cyrillic']"
Catamaran,['tamil']
Caveat,['cyrillic']
Changa,['arabic']
Charis SIL,['cyrillic']
Chathura,['telugu']
Cherry Bomb One,['japanese']
Chiron GoRound TC,"['chinese-traditional', 'cyrillic']"
Chiron Hei HK,"['chinese-traditional', 'cyrillic']"
Chiron Sung HK,['cyrillic']
Chocolate Classical Sans,"['chinese-traditional', 'cyrillic']"
Chokokutai,['japanese']
Climate Crisis,['cyrillic']
Coiny,['tamil']
Comfortaa,['cyrillic']
Comforter,['cyrillic']
Comforter Brush,['cyrillic']
Comic Relief,['cyrillic']
Commissioner,['cyrillic']
Cormorant,['cyrillic']
Cormorant Garamond,['cyrillic']
Cormorant Infant,['cyrillic']
Cormorant SC,['cyrillic']
Cormorant Unicase,['cyrillic']
Cousine,['cyrillic']
Cuprum,['cyrillic']
Darumadrop One,['japanese']
Days One,['cyrillic']
Dekko,['devanagari']
Dela Gothic One,"['cyrillic', 'japanese']"
Dhurjati,['telugu']
Didact Gothic,['cyrillic']
DotGothic16,"['cyrillic', 'japanese']"
EB Garamond,['cyrillic']
Eczar,['devanagari']
El Messiri,"['arabic', 'cyrillic']"
Exo 2,['cyrillic']
Finlandica,['cyrillic']
Fira Code,['cyrillic']
Fira Mono,['cyrillic']
Fira Sans,['cyrillic']
Fira Sans Condensed,['cyrillic']
Fira Sans Extra Condensed,['cyrillic']
Flow Block,['cyrillic']
Flow Circular,['cyrillic']
Flow Rounded,['cyrillic']
Forum,['cyrillic']
Fustat,['arabic']
Gabriela,['cyrillic']
Gajraj One,['devanagari']
Galada,['bengali']
Geist,['cyrillic']
Geist Mono,['cyrillic']
Gentium Book Plus,['cyrillic']
Gentium Plus,['cyrillic']
Geologica,['cyrillic']
Gidole,['cyrillic']
Gidugu,['telugu']
Glegoo,['devanagari']
Golos Text,['cyrillic']
Google Sans,"['bengali', 'cyrillic', 'devanagari', 'tamil', 'telugu']"
Gothic A1,['cyrillic']
Gotu,['devanagari']
Great Vibes,['cyrillic']
Gulzar,['arabic']
Gurajada,['telugu']
Hachi Maru Pop,"['cyrillic', 'japanese']"
Halant,['devanagari']
Handjet,"['arabic', 'cyrillic']"
Harmattan,['arabic']
Hina Mincho,"['cyrillic', 'japanese']"
Hind,['devanagari']
Hind Guntur,['telugu']
Hind Madurai,['tamil']
Hind Siliguri,['bengali']
Huninn,"['chinese-traditional', 'cyrillic']"
IBM Plex Mono,['cyrillic']
IBM Plex Sans,['cyrillic']
IBM Plex Sans Arabic,['arabic']
IBM Plex Sans Devanagari,['devanagari']
IBM Plex Sans JP,"['cyrillic', 'japanese']"
IBM Plex Serif,['cyrillic']
Iansui,['chinese-traditional']
Inknut Antiqua,['devanagari']
Inter,['cyrillic']
Inter Tight,['cyrillic']
Iosevka Charon,['cyrillic']
Iosevka Charon Mono,['cyrillic']
Istok Web,['cyrillic']
Jaini,['devanagari']
Jaini Purva,['devanagari']
Jaldi,['devanagari']
JetBrains Mono,['cyrillic']
Jost,['cyrillic']
Jura,['cyrillic']
Kablammo,['cyrillic']
Kadwa,['devanagari']
Kaisei Decol,"['cyrillic', 'japanese']"
Kaisei HarunoUmi,"['cyrillic', 'japanese']"
Kaisei Opti,"['cyrillic', 'japanese']"
Kaisei Tokumin,"['cyrillic', 'japanese']"
Kalam,['devanagari']
Kapakana,['japanese']
Karla Tamil Inclined,['tamil']
Karla Tamil Upright,['tamil']
Karma,['devanagari']
Katibeh,['arabic']
Kavivanar,['tamil']
Kelly Slab,['cyrillic']
Khand,['devanagari']
Khula,['devanagari']
Kiwi Maru,"['cyrillic', 'japanese']"
Klee One,"['cyrillic', 'japanese']"
Kosugi,"['cyrillic', 'japanese']"
Kosugi Maru,"['cyrillic', 'japanese']"
Kufam,['arabic']
Kurale,"['cyrillic', 'devanagari']"
LINE Seed JP,"['cyrillic', 'japanese']"
LXGW Marker Gothic,"['chinese-traditional', 'cyrillic']"
LXGW WenKai Mono TC,"['chinese-traditional', 'cyrillic']"
LXGW WenKai TC,"['chinese-traditional', 'cyrillic']"
Laila,['devanagari']
Lakki Reddy,['telugu']
Lalezar,['arabic']
Lateef,['arabic']
Ledger,['cyrillic']
Lemonada,['arabic']
Libertinus Math,['cyrillic']
Libertinus Sans,['cyrillic']
Libertinus Serif,['cyrillic']
Libertinus Serif Display,['cyrillic']
Libre Franklin,['cyrillic']
Lilex,['cyrillic']
Liter,['cyrillic']
Literata,['cyrillic']
Liu Jian Mao Cao,['chinese-simplified']
Lobster,['cyrillic']
Long Cang,['chinese-simplified']
Lora,['cyrillic']
Lunasima,['cyrillic']
M PLUS 1,['japanese']
M PLUS 1 Code,['japanese']
M PLUS 1p,"['cyrillic', 'japanese']"
M PLUS 2,['japanese']
M PLUS Rounded 1c,"['cyrillic', 'japanese']"
Ma Shan Zheng,['chinese-simplified']
Mada,['arabic']
Mallanna,['telugu']
Mandali,['telugu']
Manrope,['cyrillic']
Marck Script,['cyrillic']
Marhey,['arabic']
Markazi Text,['arabic']
Marmelad,['cyrillic']
Martel,['devanagari']
Martel Sans,['devanagari']
Martian Mono,['cyrillic']
Matangi,['devanagari']
Meera Inimai,['tamil']
Merriweather,['cyrillic']
Mina,['bengali']
Mirza,['arabic']
Mochiy Pop One,['japanese']
Mochiy Pop P One,['japanese']
Modak,['devanagari']
Moderustic,['cyrillic']
Monomakh,['cyrillic']
Monomaniac One,['japanese']
Montserrat,['cyrillic']
Montserrat Alternates,['cyrillic']
Montserrat Underline,['cyrillic']
Mukta,['devanagari']
Mukta Malar,['tamil']
Mulish,['cyrillic']
Murecho,"['cyrillic', 'japanese']"
NTR,['telugu']
Nata Sans,['cyrillic']
Neucha,['cyrillic']
New Tegomin,['japanese']
News Cycle,['cyrillic']
Nobile,['cyrillic']
Noto Kufi Arabic,['arabic']
Noto Naskh Arabic,['arabic']
Noto Nastaliq Urdu,['arabic']
Noto Sans,"['cyrillic', 'devanagari']"
Noto Sans Arabic,['arabic']
Noto Sans Bengali,['bengali']
Noto Sans Devanagari,['devanagari']
Noto Sans Display,['cyrillic']
Noto Sans HK,['cyrillic']
Noto Sans JP,"['cyrillic', 'japanese']"
Noto Sans KR,['cyrillic']
Noto Sans Math,['cyrillic']
Noto Sans Mono,['cyrillic']
Noto Sans SC,"['chinese-simplified', 'cyrillic']"
Noto Sans TC,"['chinese-traditional', 'cyrillic']"
Noto Sans Tamil,['tamil']
Noto Sans Telugu,['telugu']
Noto Serif,['cyrillic']
Noto Serif Bengali,['bengali']
Noto Serif Devanagari,['devanagari']
Noto Serif Display,['cyrillic']
Noto Serif HK,['cyrillic']
Noto Serif JP,"['cyrillic', 'japanese']"
Noto Serif KR,['cyrillic']
Noto Serif SC,"['chinese-simplified', 'cyrillic']"
Noto Serif TC,"['chinese-traditional', 'cyrillic']"
Noto Serif Tamil,['tamil']
Noto Serif Telugu,['telugu']
Nunito,['cyrillic']
Nunito Sans,['cyrillic']
Oi,"['arabic', 'cyrillic', 'tamil']"
Old Standard TT,['cyrillic']
Onest,['cyrillic']
Open Sans,['cyrillic']
Oranienbaum,['cyrillic']
Orelega One,['cyrillic']
Oswald,['cyrillic']
Overpass,['cyrillic']
Overpass Mono,['cyrillic']
PT Mono,['cyrillic']
PT Sans,['cyrillic']
PT Sans Caption,['cyrillic']
PT Sans Narrow,['cyrillic']
PT Serif,['cyrillic']
PT Serif Caption,['cyrillic']
Pacifico,['cyrillic']
Palanquin,['devanagari']
Palanquin Dark,['devanagari']
Palette Mosaic,['japanese']
Pangolin,['cyrillic']
Parastoo,['arabic']
Pattaya,['cyrillic']
Pavanam,['tamil']
Peddana,['telugu']
Philosopher,['cyrillic']
Piazzolla,['cyrillic']
Pixelify Sans,['cyrillic']
Play,['cyrillic']
Playfair,['cyrillic']
Playfair Display,['cyrillic']
Playfair Display SC,['cyrillic']
Playpen Sans,['cyrillic']
Playpen Sans Arabic,['arabic']
Playpen Sans Deva,['devanagari']
Pochaevsk,['cyrillic']
Podkova,['cyrillic']
Poiret One,['cyrillic']
Ponnala,['telugu']
Ponomar,['cyrillic']
Poppins,['devanagari']
Potta One,['japanese']
Pragati Narrow,['devanagari']
Prata,['cyrillic']
Press Start 2P,['cyrillic']
Prosto One,['cyrillic']
Qahiri,['arabic']
Rajdhani,['devanagari']
Rakkas,['arabic']
Raleway,['cyrillic']
Ramabhadra,['telugu']
Ramaraja,['telugu']
Rampart One,"['cyrillic', 'japanese']"
Ranga,['devanagari']
Ravi Prakash,['telugu']
Readex Pro,['arabic']
Reem Kufi,['arabic']
Reem Kufi Fun,['arabic']
Reem Kufi Ink,['arabic']
Reggae One,"['cyrillic', 'japanese']"
Rhodium Libre,['devanagari']
Roboto,['cyrillic']
Roboto Condensed,['cyrillic']
Roboto Flex,['cyrillic']
Roboto Mono,['cyrillic']
Roboto Serif,['cyrillic']
Roboto Slab,['cyrillic']
Rock 3D,['japanese']
RocknRoll One,['japanese']
Rozha One,['devanagari']
Rubik,"['arabic', 'cyrillic']"
Rubik 80s Fade,['cyrillic']
Rubik Beastly,['cyrillic']
Rubik Broken Fax,['cyrillic']
Rubik Bubbles,['cyrillic']
Rubik Burned,['cyrillic']
Rubik Dirt,['cyrillic']
Rubik Distressed,['cyrillic']
Rubik Doodle Shadow,['cyrillic']
Rubik Doodle Triangles,['cyrillic']
Rubik Gemstones,['cyrillic']
Rubik Glitch,['cyrillic']
Rubik Glitch Pop,['cyrillic']
Rubik Iso,['cyrillic']
Rubik Lines,['cyrillic']
Rubik Maps,['cyrillic']
Rubik Marker Hatch,['cyrillic']
Rubik Maze,['cyrillic']
Rubik Microbe,['cyrillic']
Rubik Mono One,['cyrillic']
Rubik Moonrocks,['cyrillic']
Rubik Pixels,['cyrillic']
Rubik Puddles,['cyrillic']
Rubik Scribble,['cyrillic']
Rubik Spray Paint,['cyrillic']
Rubik Storm,['cyrillic']
Rubik Vinyl,['cyrillic']
Rubik Wet Paint,['cyrillic']
Ruda,['cyrillic']
Ruslan Display,['cyrillic']
Russo One,['cyrillic']
Ruwudu,['arabic']
SN Pro,['cyrillic']
STIX Two Text,['cyrillic']
Sahitya,['devanagari']
Sansation,['cyrillic']
Sarala,['devanagari']
Sarpanch,['devanagari']
Sawarabi Gothic,"['cyrillic', 'japanese']"
Sawarabi Mincho,['japanese']
Scada,['cyrillic']
Scheherazade New,['arabic']
Science Gothic,['cyrillic']
Seymour One,['cyrillic']
Shafarik,['cyrillic']
Shantell Sans,['cyrillic']
Shippori Antique,['japanese']
Shippori Antique B1,['japanese']
Shippori Mincho,['japanese']
Shippori Mincho B1,['japanese']
Shizuru,['japanese']
Sirivennela,['telugu']
Slackside One,['japanese']
Sofia Sans,['cyrillic']
Sofia Sans Condensed,['cyrillic']
Sofia Sans Extra Condensed,['cyrillic']
Sofia Sans Semi Condensed,['cyrillic']
Source Code Pro,['cyrillic']
Source Sans 3,['cyrillic']
Source Serif 4,['cyrillic']
Spectral,['cyrillic']
Spectral SC,['cyrillic']
Sree Krushnadevaraya,['telugu']
Stalinist One,['cyrillic']
Stick,"['cyrillic', 'japanese']"
Sumana,['devanagari']
Sura,['devanagari']
Suranna,['telugu']
Suravaram,['telugu']
Tajawal,['arabic']
Teko,['devanagari']
Tektur,['cyrillic']
Tenali Ramakrishna,['telugu']
Tenor Sans,['cyrillic']
TikTok Sans,['cyrillic']
Tillana,['devanagari']
Timmana,['telugu']
Tinos,['cyrillic']
Tiny5,['cyrillic']
Tiro Bangla,['bengali']
Tiro Devanagari Hindi,['devanagari']
Tiro Devanagari Marathi,['devanagari']
Tiro Devanagari Sanskrit,['devanagari']
Tiro Tamil,['tamil']
Tiro Telugu,['telugu']
Train One,"['cyrillic', 'japanese']"
Triodion,['cyrillic']
Tsukimi Rounded,['japanese']
Tuffy,['cyrillic']
Ubuntu,['cyrillic']
Ubuntu Condensed,['cyrillic']
Ubuntu Mono,['cyrillic']
Ubuntu Sans,['cyrillic']
Ubuntu Sans Mono,['cyrillic']
Unbounded,['cyrillic']
Underdog,['cyrillic']
UoqMunThenKhung,"['chinese-traditional', 'cyrillic']"
Vazirmatn,['arabic']
Vesper Libre,['devanagari']
Viaoda Libre,['cyrillic']
Vibes,['arabic']
Victor Mono,['cyrillic']
Vollkorn,['cyrillic']
Vollkorn SC,['cyrillic']
WDXL Lubrifont JP N,"['cyrillic', 'japanese']"
WDXL Lubrifont SC,"['chinese-simplified', 'cyrillic']"
WDXL Lubrifont TC,"['chinese-traditional', 'cyrillic']"
Wix Madefor Display,['cyrillic']
Wix Madefor Text,['cyrillic']
Yanone Kaffeesatz,['cyrillic']
Yantramanav,['devanagari']
Yatra One,['devanagari']
Yeseva One,['cyrillic']
Yomogi,"['cyrillic', 'japanese']"
Ysabeau,['cyrillic']
Ysabeau Infant,['cyrillic']
Ysabeau Office,['cyrillic']
Ysabeau SC,['cyrillic']
Yuji Boku,"['cyrillic', 'japanese']"
Yuji Hentaigana Akari,['japanese']
Yuji Hentaigana Akebono,['japanese']
Yuji Mai,"['cyrillic', 'japanese']"
Yuji Syuku,"['cyrillic', 'japanese']"
Yusei Magic,['japanese']
ZCOOL KuaiLe,['chinese-simplified']
ZCOOL QingKe HuangYou,['chinese-simplified']
ZCOOL XiaoWei,['chinese-simplified']
Zain,['arabic']
Zen Antique,"['cyrillic', 'japanese']"
Zen Antique Soft,"['cyrillic', 'japanese']"
Zen Kaku Gothic Antique,"['cyrillic', 'japanese']"
Zen Kaku Gothic New,"['cyrillic', 'japanese']"
Zen Kurenaido,"['cyrillic', 'japanese']"
Zen Maru Gothic,"['cyrillic', 'japanese']"
Zen Old Mincho,"['cyrillic', 'japanese']"
Zhi Mang Xing,['chinese-simplified']
