script_pair,count
"('latin', 'latin-ext')",1505
"('latin', 'vietnamese')",507
"('latin-ext', 'vietnamese')",504
"('cyrillic', 'latin')",293
"('cyrillic', 'latin-ext')",285
"('cyrillic-ext', 'latin')",233
"('cyrillic-ext', 'latin-ext')",229
"('cyrillic', 'cyrillic-ext')",206
"('cyrillic', 'vietnamese')",163
"('cyrillic-ext', 'vietnamese')",149
"('greek', 'latin')",117
"('greek', 'latin-ext')",115
"('cyrillic', 'greek')",103
"('cyrillic-ext', 'greek')",93
"('greek', 'vietnamese')",83
"('latin', 'math')",79
"('latin-ext', 'math')",73
"('latin', 'symbols')",72
"('greek-ext', 'latin')",71
"('math', 'symbols')",70
"('greek-ext', 'latin-ext')",69
"('latin-ext', 'symbols')",67
"('japanese', 'latin')",67
"('japanese', 'latin-ext')",62
"('hebrew', 'latin')",62
"('devanagari', 'latin')",62
"('cyrillic', 'greek-ext')",61
"('devanagari', 'latin-ext')",60
"('greek', 'greek-ext')",60
"('hebrew', 'latin-ext')",60
"('cyrillic-ext', 'greek-ext')",57
"('arabic', 'latin')",54
"('greek-ext', 'vietnamese')",50
"('arabic', 'latin-ext')",48
"('cyrillic-ext', 'hebrew')",43
"('cyrillic', 'hebrew')",42
"('cyrillic', 'japanese')",40
"('korean', 'latin')",34
"('latin', 'thai')",34
"('latin-ext', 'thai')",34
"('thai', 'vietnamese')",28
"('latin', 'telugu')",27
"('math', 'vietnamese')",26
"('cyrillic-ext', 'math')",25
"('khmer', 'latin')",24
"('symbols', 'vietnamese')",23
"('cyrillic-ext', 'symbols')",22
"('cyrillic', 'math')",22
"('cyrillic', 'symbols')",19
"('hebrew', 'vietnamese')",17
"('latin', 'symbols2')",17
"('arabic', 'vietnamese')",16
"('latin-ext', 'symbols2')",16
"('chinese-traditional', 'latin')",16
"('latin', 'tamil')",15
"('chinese-traditional', 'latin-ext')",15
"('greek', 'hebrew')",15
"('korean', 'latin-ext')",14
"('japanese', 'vietnamese')",14
"('latin-ext', 'tamil')",14
"('cyrillic', 'symbols2')",14
"('gujarati', 'latin-ext')",13
"('gujarati', 'latin')",13
"('greek-ext', 'hebrew')",12
"('chinese-traditional', 'cyrillic')",12
"('hebrew', 'math')",11
"('bengali', 'latin')",11
"('greek', 'math')",11
"('hebrew', 'symbols')",11
"('bengali', 'latin-ext')",10
"('symbols2', 'vietnamese')",10
"('chinese-simplified', 'latin')",10
"('latin-ext', 'telugu')",10
"('kannada', 'latin-ext')",10
"('kannada', 'latin')",10
"('gurmukhi', 'latin-ext')",10
"('greek', 'symbols2')",10
"('cyrillic-ext', 'symbols2')",10
"('gurmukhi', 'latin')",10
"('chinese-traditional', 'vietnamese')",10
"('greek', 'japanese')",9
"('greek', 'symbols')",9
"('latin', 'malayalam')",9
"('latin-ext', 'sinhala')",8
"('latin', 'sinhala')",8
"('greek-ext', 'japanese')",8
"('latin-ext', 'malayalam')",8
"('latin', 'syriac')",7
"('greek-ext', 'math')",7
"('korean', 'vietnamese')",7
"('ethiopic', 'latin')",6
"('greek-ext', 'symbols')",6
"('latin', 'oriya')",6
"('arabic', 'cyrillic')",6
"('arabic', 'cyrillic-ext')",6
"('latin-ext', 'oriya')",6
"('braille', 'latin')",6
"('braille', 'latin-ext')",6
"('khmer', 'latin-ext')",6
"('emoji', 'latin-ext')",6
"('armenian', 'latin-ext')",6
"('ethiopic', 'latin-ext')",6
"('emoji', 'latin')",6
"('armenian', 'latin')",6
"('arabic', 'greek')",5
"('chinese-traditional', 'cyrillic-ext')",5
"('chinese-traditional', 'symbols2')",5
"('greek-ext', 'symbols2')",5
"('canadian-aboriginal', 'latin')",5
"('cherokee', 'latin')",5
"('canadian-aboriginal', 'latin-ext')",5
"('latin-ext', 'syriac')",5
"('cherokee', 'latin-ext')",5
"('tamil', 'vietnamese')",5
"('adlam', 'latin')",4
"('adlam', 'latin-ext')",4
"('canadian-aboriginal', 'vietnamese')",4
"('arabic', 'math')",4
"('braille', 'vietnamese')",4
"('latin', 'tifinagh')",4
"('latin-ext', 'tifinagh')",4
"('chinese-traditional', 'greek')",4
"('emoji', 'math')",4
"('latin-ext', 'lisu')",4
"('braille', 'greek')",4
"('braille', 'symbols2')",4
"('cherokee', 'vietnamese')",4
"('braille', 'cyrillic')",4
"('latin', 'lisu')",4
"('armenian', 'cyrillic')",4
"('braille', 'cyrillic-ext')",4
"('armenian', 'cyrillic-ext')",4
"('devanagari', 'vietnamese')",4
"('gujarati', 'vietnamese')",4
"('cyrillic-ext', 'devanagari')",4
"('lao', 'latin')",4
"('canadian-aboriginal', 'symbols')",4
"('armenian', 'greek')",4
"('armenian', 'vietnamese')",4
"('arabic', 'hebrew')",4
"('lao', 'latin-ext')",4
"('devanagari', 'greek-ext')",3
"('ethiopic', 'vietnamese')",3
"('kayah-li', 'latin-ext')",3
"('cyrillic-ext', 'japanese')",3
"('math', 'symbols2')",3
"('armenian', 'greek-ext')",3
"('gujarati', 'symbols')",3
"('arabic', 'symbols')",3
"('greek', 'tamil')",3
"('cyrillic-ext', 'thai')",3
"('chinese-simplified', 'cyrillic')",3
"('canadian-aboriginal', 'math')",3
"('malayalam', 'vietnamese')",3
"('chinese-simplified', 'latin-ext')",3
"('armenian', 'symbols')",3
"('gurmukhi', 'vietnamese')",3
"('cyrillic', 'devanagari')",3
"('kayah-li', 'latin')",3
"('symbols', 'symbols2')",3
"('georgian', 'latin')",3
"('chinese-traditional', 'greek-ext')",3
"('latin', 'nushu')",3
"('chinese-hongkong', 'cyrillic')",3
"('latin-ext', 'nushu')",3
"('georgian', 'latin-ext')",3
"('chinese-hongkong', 'latin')",3
"('chinese-hongkong', 'latin-ext')",3
"('chinese-hongkong', 'vietnamese')",3
"('cyrillic', 'korean')",3
"('braille', 'math')",3
"('latin-ext', 'runic')",3
"('braille', 'symbols')",3
"('latin', 'runic')",3
"('latin', 'tibetan')",3
"('devanagari', 'greek')",3
"('cyrillic-ext', 'ethiopic')",2
"('bengali', 'devanagari')",2
"('bengali', 'oriya')",2
"('devanagari', 'oriya')",2
"('telugu', 'vietnamese')",2
"('devanagari', 'symbols')",2
"('greek', 'malayalam')",2
"('greek-ext', 'malayalam')",2
"('greek-ext', 'tamil')",2
"('malayalam', 'tamil')",2
"('oriya', 'vietnamese')",2
"('bengali', 'vietnamese')",2
"('georgian', 'greek-ext')",2
"('arabic', 'braille')",2
"('braille', 'hebrew')",2
"('cyrillic', 'tamil')",2
"('latin', 'new-tai-lue')",2
"('latin-ext', 'new-tai-lue')",2
"('latin-ext', 'old-italic')",2
"('latin', 'old-italic')",2
"('hebrew', 'symbols2')",2
"('cyrillic', 'thai')",2
"('armenian', 'hebrew')",2
"('canadian-aboriginal', 'cherokee')",2
"('canadian-aboriginal', 'syriac')",2
"('cherokee', 'math')",2
"('greek', 'runic')",2
"('latin-ext', 'old-permic')",2
"('cyrillic-ext', 'tamil')",2
"('syriac', 'vietnamese')",2
"('cyrillic-ext', 'georgian')",2
"('armenian', 'braille')",2
"('cyrillic', 'emoji')",2
"('cyrillic-ext', 'emoji')",2
"('greek-ext', 'runic')",2
"('gothic', 'latin-ext')",2
"('emoji', 'vietnamese')",2
"('chinese-traditional', 'lisu')",2
"('cyrillic', 'lisu')",2
"('cyrillic-ext', 'lisu')",2
"('greek', 'lisu')",2
"('greek-ext', 'lisu')",2
"('latin', 'old-permic')",2
"('cherokee', 'syriac')",2
"('lisu', 'vietnamese')",2
"('gothic', 'latin')",2
"('armenian', 'math')",2
"('hebrew', 'japanese')",2
"('latin', 'lepcha')",2
"('latin-ext', 'lepcha')",2
"('latin', 'limbu')",2
"('latin-ext', 'limbu')",2
"('gunjala-gondi', 'latin')",2
"('gunjala-gondi', 'latin-ext')",2
"('cherokee', 'symbols')",2
"('arabic', 'symbols2')",2
"('balinese', 'latin')",2
"('balinese', 'latin-ext')",2
"('cyrillic-ext', 'glagolitic')",2
"('glagolitic', 'latin')",2
"('glagolitic', 'latin-ext')",2
"('grantha', 'latin')",2
"('grantha', 'latin-ext')",2
"('gujarati', 'math')",2
"('khojki', 'latin')",2
"('khojki', 'latin-ext')",2
"('sinhala', 'vietnamese')",2
"('latin', 'mayan-numerals')",2
"('latin-ext', 'mayan-numerals')",2
"('latin', 'myanmar')",2
"('latin-ext', 'myanmar')",2
"('latin', 'nko')",2
"('latin-ext', 'nko')",2
"('latin', 'phoenician')",2
"('latin-ext', 'phoenician')",2
"('braille', 'greek-ext')",2
"('math', 'syriac')",2
"('chinese-simplified', 'vietnamese')",2
"('latin', 'tai-viet')",2
"('latin-ext', 'tai-viet')",2
"('latin', 'vithkuqi')",2
"('latin-ext', 'vithkuqi')",2
"('latin', 'yi')",2
"('latin-ext', 'yi')",2
"('symbols', 'syriac')",2
"('georgian', 'symbols')",2
"('armenian', 'symbols2')",2
"('cyrillic-ext', 'oriya')",1
"('cyrillic-ext', 'sinhala')",1
"('cyrillic-ext', 'telugu')",1
"('devanagari', 'ethiopic')",1
"('devanagari', 'georgian')",1
"('devanagari', 'gujarati')",1
"('devanagari', 'gurmukhi')",1
"('devanagari', 'hebrew')",1
"('devanagari', 'khmer')",1
"('devanagari', 'lao')",1
"('devanagari', 'malayalam')",1
"('devanagari', 'sinhala')",1
"('devanagari', 'tamil')",1
"('devanagari', 'telugu')",1
"('devanagari', 'thai')",1
"('ethiopic', 'georgian')",1
"('ethiopic', 'greek')",1
"('ethiopic', 'greek-ext')",1
"('ethiopic', 'gujarati')",1
"('ethiopic', 'gurmukhi')",1
"('ethiopic', 'hebrew')",1
"('ethiopic', 'khmer')",1
"('ethiopic', 'lao')",1
"('ethiopic', 'malayalam')",1
"('ethiopic', 'oriya')",1
"('ethiopic', 'sinhala')",1
"('ethiopic', 'symbols')",1
"('ethiopic', 'tamil')",1
"('ethiopic', 'telugu')",1
"('ethiopic', 'thai')",1
"('georgian', 'greek')",1
"('georgian', 'gujarati')",1
"('georgian', 'gurmukhi')",1
"('georgian', 'hebrew')",1
"('georgian', 'khmer')",1
"('georgian', 'lao')",1
"('georgian', 'malayalam')",1
"('georgian', 'oriya')",1
"('georgian', 'sinhala')",1
"('georgian', 'tamil')",1
