script,count
latin,1920
latin-ext,1505
vietnamese,507
cyrillic,293
cyrillic-ext,233
greek,117
math,79
symbols,72
greek-ext,71
japanese,67
devanagari,62
hebrew,62
arabic,54
korean,38
thai,34
khmer,28
telugu,27
symbols2,17
tamil,17
chinese-traditional,16
gujarati,13
bengali,11
kannada,10
chinese-simplified,10
gurmukhi,10
malayalam,9
sinhala,8
emoji,8
syriac,7
armenian,6
braille,6
ethiopic,6
oriya,6
canadian-aboriginal,5
lao,5
cherokee,5
adlam,4
tifinagh,4
lisu,4
nushu,3
chinese-hongkong,3
runic,3
tibetan,3
kayah-li,3
georgian,3
myanmar,3
new-tai-lue,2
old-italic,2
gothic,2
lepcha,2
limbu,2
gunjala-gondi,2
old-permic,2
tai-viet,2
vithkuqi,2
grantha,2
balinese,2
nko,2
mayan-numerals,2
khojki,2
glagolitic,2
yi,2
phoenician,2
kirat-rai,1
beria-erfe,1
bhaiksuki,1
brahmi,1
buginese,1
buhid,1
cham,1
chakma,1
chorasmian,1
coptic,1
cypro-minoan,1
deseret,1
cuneiform,1
cypriot,1
egyptian-hieroglyphs,1
duployan,1
elymaic,1
elbasan,1
avestan,1
bamum,1
anatolian-hieroglyphs,1
music,1
imperial-aramaic,1
hatran,1
hanunoo,1
hanifi-rohingya,1
javanese,1
indic-siyaq-numbers,1
inscriptional-parthian,1
inscriptional-pahlavi,1
khudawadi,1
linear-a,1
linear-b,1
lycian,1
lydian,1
kaithi,1
kawi,1
kharoshthi,1
manichaean,1
mandaic,1
mahajani,1
marchen,1
meetei-mayek,1
mende-kikakui,1
masaram-gondi,1
medefaidrin,1
meroitic-cursive,1
meroitic,1
meroitic-hieroglyphs,1
miao,1
carian,1
caucasian-albanian,1
bassa-vah,1
batak,1
mro,1
multani,1
modi,1
mongolian,1
ogham,1
nabataean,1
nandinagari,1
nag-mundari,1
old-persian,1
old-sogdian,1
old-south-arabian,1
old-turkic,1
osage,1
ol-chiki,1
old-hungarian,1
newa,1
palmyrene,1
pau-cin-hau,1
phags-pa,1
psalter-pahlavi,1
rejang,1
samaritan,1
saurashtra,1
sharada,1
shavian,1
siddham,1
signwriting,1
sogdian,1
sora-sompeng,1
osmanya,1
pahawh-hmong,1
old-north-arabian,1
sunuwar,1
sundanese,1
soyombo,1
tagbanwa,1
tai-le,1
tai-tham,1
takri,1
syloti-nagri,1
tamil-supplement,1
tangsa,1
tirhuta,1
thaana,1
ugaritic,1
vai,1
wancho,1
tagalog,1
warang-citi,1
zanabazar-square,1
ahom,1
dives-akuru,1
dogra,1
kana-extended,1
khitan-small-script,1
makasar,1
nyiakeng-puachue-hmong,1
old-uyghur,1
ottoman-siyaq-numbers,1
tangut,1
todhri,1
toto,1
yezidi,1
znamenny,1
