script,distinct_font_count
latin,83074
cyrillic,17713
pua,6789
katakana,5505
han,2960
arabic,2047
greek,1121
bengali,444
hiragana,351
devanagari,305
inherited,219
hebrew,165
hangul,141
tamil,136
thai,124
telugu,119
emoji,106
georgian,70
japanese,65
bopomofo,54
armenian,51
malayalam,21
khmer,16
chinese-traditional,16
sinhala,14
gujarati,13
gurmukhi,13
lao,12
thaana,12
kannada,11
chinese-simplified,10
oriya,9
lisu,9
ethiopic,8
braille,8
canadian_aboriginal,8
myanmar,7
ol_chiki,6
tifinagh,6
mongolian,6
nko,6
kayah_li,6
new_tai_lue,6
cherokee,6
sundanese,5
javanese,5
batak,5
syriac,5
yi,5
balinese,4
limbu,4
osmanya,4
buginese,4
tai_tham,4
vai,4
samaritan,4
tai_le,4
lepcha,4
inscriptional_pahlavi,3
hanifi_rohingya,3
hanunoo,3
buhid,3
bamum,3
adlam,3
gunjala_gondi,3
chakma,3
cham,3
deseret,3
duployan,3
osage,3
newa,3
nushu,3
nyiakeng_puachue_hmong,3
miao,3
mende_kikakui,3
mro,3
nag_mundari,3
meetei_mayek,3
mandaic,3
masaram_gondi,3
kawi,3
khudawadi,3
medefaidrin,3
pau_cin_hau,3
pahawh_hmong,3
tagbanwa,3
tagalog,3
signwriting,3
sora_sompeng,3
rejang,3
saurashtra,3
sharada,3
shavian,3
tangsa,3
takri,3
tai_viet,3
tibetan,3
toto,3
tirhuta,3
wancho,3
warang_citi,3
